seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1640	593918	54	N	N	2	*	1640,1646
contig_3127	576724	23	Y	N	1	*	3127
contig_7972	576669	34	N	N	1	*	5859,7972,-24061
contig_6898	573107	32	N	N	1	*	-14027,-14024,6898
contig_4821	568352	14	N	N	1	*	*,4821,*
contig_1062	563407	50	N	N	2	*	1062,-1032
contig_1865	558953	19	N	N	1	*	*,-9335,1865,5700,5701,5702,-2060
contig_5173	532239	11	N	N	1	*	*,5173,*
contig_3246	517687	20	N	N	1	*	3246
contig_1061	515341	49	N	N	2	*	1061,*
contig_3454	512451	18	N	N	1	*	3454,12493
contig_452	510336	18	N	N	1	*	*,11114,452,*
contig_4649	498257	97	N	N	3	*	-23915,4649
contig_3029	497472	16	N	N	1	*	*,3029,-3906,-3904
contig_7782	495457	106	N	N	4	*	7782
contig_2175	493374	31	N	N	1	*	23742,2175
contig_1268	487189	24	N	N	1	*	-1248,23535,1268,-1943,-1942,1951
contig_5585	484706	23	N	N	1	*	-5799,-5798,5585,-24355
contig_7971	480089	17	N	N	1	*	7971
contig_3019	480084	18	N	N	1	*	-3935,3019
contig_1588	455342	14	N	N	1	*	*,1588,*
contig_2039	453057	12	N	N	1	*	2039,*
contig_1026	450950	47	N	N	2	*	1026
contig_12640	427272	14	N	N	1	*	*,12640,*
contig_1060	426983	40	N	N	1	*	*,1060,*
contig_5590	425975	23	N	N	1	*	23498,5590,*
contig_2617	421335	82	N	N	3	*	3611,-2689,-2557,2617,-6157,6158
contig_2055	418455	40	N	N	2	*	25726,2055
contig_1229	413559	24	N	N	1	*	*,1229,1233
contig_902	411728	37	N	N	1	*	5465,-288,902
contig_3046	408293	27	N	N	1	*	23459,391,505,3046
contig_764	405985	24	N	N	1	*	-1215,764
contig_886	405898	17	N	N	1	*	886,-1400
contig_3526	404878	23	N	N	1	*	3526,7734
contig_5907	398717	31	N	N	1	*	-2023,5907,2023
contig_7739	394319	20	N	N	1	*	7744,7739,-7744
contig_7124	385519	9	N	N	1	*	*,7124,*
contig_9098	375532	11	N	N	1	*	*,9098,*
contig_10555	375459	14	N	N	1	*	*,10555,*
contig_3846	372089	57	N	N	2	*	-23843,3843,3846
contig_2416	361384	26	N	N	1	*	-3787,-3784,3785,2416
contig_1052	359470	10	N	N	1	*	*,1052,*
contig_1591	353914	14	N	N	1	*	1584,1584,1585,1591,*
contig_15693	351636	9	N	N	1	*	*,15693,*
contig_8873	347586	40	N	N	2	*	*,15191,15191,8873
contig_7432	344978	27	N	N	1	*	-7448,7432,*
contig_2698	341600	688	N	N	31	*	23063,2566,2567,2567,2659,2698,-13188,*
contig_13224	340544	56	N	N	2	*	13224,*
contig_874	338899	31	N	N	1	*	-16779,874
contig_9492	338003	31	N	N	1	*	10421,10422,10422,9492
contig_1088	337641	19	N	N	1	*	1088
contig_7801	330195	41	N	N	2	*	7801
contig_3943	329815	17	N	N	1	*	-3935,3943,*
contig_857	328426	28	N	N	1	*	857,2399
contig_5988	327763	7	N	N	1	*	5988,*
contig_7169	327068	9	N	N	1	*	*,7169,*
contig_15742	326858	14	N	N	1	*	*,15742,*
contig_3297	326152	16	N	N	1	*	*,3297,19287,19290
contig_5909	325060	30	N	N	1	*	24476,5909,11840
contig_3012	322749	58	N	N	2	*	7855,2975,3012
contig_3242	320893	169	N	N	7	*	-3243,3241,3242,5384
contig_1794	318451	11	N	N	1	*	-3606,1794
contig_5496	317804	17	N	N	1	*	25536,5496,-25536
contig_14905	316269	15	N	N	1	*	2837,2863,14905
contig_1510	312413	22	N	N	1	*	1510,9107
contig_3119	311781	25	N	N	1	*	3119,*
contig_14411	306161	98	N	N	3	*	20459,14411,-6323,-6323,-24151
contig_3854	305712	57	N	N	2	*	3854
contig_1905	304032	250	N	N	11	*	-2187,1905,-6439,-24122
contig_5045	302622	12	N	N	1	*	5045,-2065,2046,*
contig_1227	294304	22	N	N	1	*	-1260,1240,-1239,-1224,1250,1227
contig_5213	293981	62	N	N	2	*	14450,5213
contig_12936	285065	14	N	N	1	*	*,12936,*
contig_12077	282149	253	Y	N	11	*	12077
contig_5145	280368	11	N	N	1	*	*,5145,*
contig_4451	279985	11	N	N	1	*	*,10173,4451,*
contig_2446	279740	96	N	N	4	*	2446,23665
contig_4059	278665	22	N	N	1	*	4059,-23559
contig_1627	277711	59	N	N	2	*	*,1627
contig_24283	275873	12	N	N	1	*	17467,24283,*
contig_1739	272882	13	N	N	1	*	1788,1739,1740
contig_6846	271621	25	N	N	1	*	*,6846,4668,-7727
contig_2424	271348	23	N	N	1	*	2424,-2458
contig_2474	271089	21	N	N	1	*	784,-786,-786,-826,-866,-4756,2474,*
contig_3101	269615	24	N	N	1	*	*,3101,3907,3908
contig_24095	269271	13	N	N	1	*	*,24095,*
contig_4954	268730	13	N	N	1	*	*,4954,*
contig_14347	268568	17	N	N	1	*	*,14347,*
contig_4680	268495	37	N	N	2	*	4680
contig_3953	268434	22	N	N	1	*	*,10075,3953,*
contig_3010	268140	50	N	N	2	*	-2977,3010,1383
contig_1021	268102	43	N	N	2	*	23519,1021
contig_5569	265821	38	N	N	1	*	5569
contig_3674	265292	12	N	N	1	*	*,3674,*
contig_9649	261818	20	N	N	1	*	*,9649,*
contig_4678	261123	41	N	N	2	*	-24683,4678
contig_5724	260945	9	N	N	1	*	*,5724,*
contig_2913	259221	83	N	N	3	*	23623,2913,-2405
contig_2403	259187	73	N	N	3	*	2403,-2405
contig_9680	258865	15	N	N	1	*	7427,9680,*
contig_1590	258502	13	N	N	1	*	1590,*
contig_2850	258231	32	N	N	1	*	*,2850,*
contig_1790	258145	13	N	N	1	*	*,1790,-1792
contig_6741	255350	30	N	N	1	*	10662,10662,10662,10662,10662,10662,10662,10662,10662,10662,10662,6741,-5921,5920
contig_2997	255308	48	N	N	2	*	6989,-6971,6974,9858,-6973,2997,*
contig_879	254721	37	N	N	2	*	879,-23619
contig_3106	254683	22	N	N	1	*	-3907,3931,3106
contig_7625	253788	10	N	N	1	*	7625,*
contig_4	252371	9	N	N	1	*	*,4,18242
contig_2468	249557	21	N	N	1	*	2468,-2470,23665
contig_9152	249459	12	N	N	1	*	*,9152,*
contig_3104	249282	21	N	N	1	*	*,3104,23850
contig_5583	248816	20	N	N	1	*	5800,5802,5801,5583,-8205
contig_5584	246007	24	N	N	1	*	-7734,5584
contig_2038	244324	31	N	N	1	*	-2052,2038,-2022,-11840
contig_3832	244142	52	N	N	2	*	-3859,3832,6014,-24503
contig_4658	242635	98	N	N	4	*	-5038,4658
contig_425	240488	26	N	N	1	*	-329,-328,425,434,23469
contig_12996	240354	22	N	N	1	*	12996
contig_1072	238179	236	N	N	10	*	-1917,1899,1900,1072
contig_526	237759	27	N	N	1	*	526
contig_6	235289	10	N	N	1	*	-8744,6,-1983,-1987,-1979,-1983,-1982,-1980,-1987,-1979,-1983
contig_10561	232211	10	N	N	1	*	*,10561,29,29,29,30,30,30,30
contig_2466	230711	83	N	N	3	*	23674,2466,23744
contig_3543	230444	25	N	N	1	*	24613,3543,23438
contig_2337	229934	27	N	N	1	*	-1261,2337
contig_2205	229844	18	N	N	1	*	-2435,2205,*
contig_3295	229796	24	N	N	1	*	-7448,3295,-23460,504,-11513,*
contig_22450	227738	12	N	N	1	*	*,22450,*
contig_13076	227502	11	N	N	1	*	13076,14024,-14027
contig_1391	226742	49	N	N	2	*	1391
contig_12739	226150	15	N	N	1	*	24036,12739
contig_315	223593	25	N	N	1	*	-361,315,331,-384
contig_15	223064	29	N	N	1	*	*,15,*
contig_3486	221889	54	N	N	2	*	3486,-24247
contig_13209	221826	10	N	N	1	*	*,13209,*
contig_21268	218287	10	N	N	1	*	*,18112,21268,*
contig_10087	218237	11	N	N	1	*	*,10087,*
contig_2428	215654	20	N	N	1	*	*,2428,*
contig_5591	215260	6	N	N	1	*	*,5591,*
contig_9606	215143	10	N	N	1	*	9606,*
contig_1908	214020	237	N	N	10	*	1908,23605,23604
contig_5091	213090	20	N	N	1	*	12493,5091
contig_225	213033	23	N	N	1	*	-1512,1466,225,-270,149,208,150,151,118
contig_1099	210762	11	N	N	1	*	*,1099,-24061
contig_2720	210750	619	N	N	28	*	6830,14050,2720
contig_7803	209924	44	N	N	2	*	7803
contig_16611	209141	10	N	N	1	*	*,16611,*
contig_25697	207051	38	N	N	1	*	25697
contig_6151	206533	8	N	N	1	*	*,6151,-9917,*
contig_1100	205584	217	N	N	9	*	-1915,-1090,1100,-1065
contig_1813	204997	13	N	N	1	*	1788,1813,*
contig_4792	203556	10	N	N	1	*	*,4792,*
contig_1246	201041	25	N	N	1	*	-10852,-10852,-10845,-10844,-5246,5241,5242,1246,-1260
contig_1051	197953	10	N	N	1	*	*,1051,*
contig_3475	196864	95	N	N	4	*	-5030,3475
contig_23564	196219	24	N	N	1	*	23564
contig_1593	195649	12	N	N	1	*	*,1593,*
contig_23563	195192	24	N	N	1	*	23563
contig_2853	195011	26	N	N	1	*	2853
contig_1807	193516	13	N	N	1	*	10883,1807,*
contig_9	192535	9	N	N	1	*	*,9
contig_14185	192065	39	N	N	1	*	14185
contig_9219	191009	8	N	N	1	*	*,9219,*
contig_7740	190843	21	N	N	1	*	24356,7740,24355
contig_5244	190224	24	N	N	1	*	-10852,-10852,-10852,-10845,-10844,-5246,5241,5242,5244,-1260
contig_375	189374	30	N	N	1	*	314,375,*
contig_24404	189183	14	N	N	1	*	24404,*
contig_3860	189131	55	N	N	2	*	3860,-8672
contig_3118	188608	12	N	N	1	*	*,3118,*
contig_5785	187454	32	N	N	1	*	*,5785
contig_3727	187412	36	N	N	1	*	3727
contig_23634	187154	6	N	N	1	*	*,23634,*
contig_1763	187017	14	N	N	1	*	-1695,1763,*
contig_17890	185875	25	N	N	1	*	17890
contig_1833	185870	13	N	N	1	*	-1703,-1693,1833,*
contig_2906	185554	101	N	N	4	*	2923,2906,-3786
contig_8818	185469	35	N	N	1	*	8818,-10665,-10665,-10665,-10665,-10665
contig_25959	184361	6	N	N	1	*	*,25959,*
contig_7339	182255	34	N	N	1	*	*,10930,7339,*
contig_2441	182033	21	N	N	1	*	8970,2441
contig_2026	181338	21	N	N	1	*	2000,2026,-24992,*
contig_5793	180016	36	N	N	1	*	-5779,5793
contig_5784	179195	12	N	N	1	*	*,5784,-24099
contig_11197	178369	13	N	N	1	*	*,11197,*
contig_3707	178015	11	N	N	1	*	15893,-15895,3707,*
contig_4651	177686	96	N	N	4	*	5706,4651,*
contig_1491	176878	22	N	N	1	*	1491,-1537
contig_1909	176591	235	N	N	10	*	1909
contig_761	175977	23	N	N	1	*	-23498,761,-2249,-2261,-2225,-2225,-2225,-2225
contig_7784	175287	101	N	N	4	*	7784
contig_5668	174573	51	N	N	2	*	*,3853,5668
contig_455	172526	26	N	N	1	*	498,455,-569,441,314
contig_1587	172137	11	N	N	1	*	*,12366,1587,*
contig_3239	171982	176	N	N	8	*	3239,3240
contig_5761	171658	9	N	N	1	*	*,5761,7163,7163,7162
contig_21370	171109	15	N	N	1	*	*,21370,*
contig_25006	170888	15	N	N	1	*	*,25006,-12724,*
contig_4654	170169	86	N	N	4	*	4654,*
contig_515	169832	18	N	N	1	*	515,10878
contig_5586	169819	23	N	N	1	*	24355,5586,-7735,-7735
contig_8406	169242	24	N	N	1	*	*,8406
contig_6495	168173	21	N	N	1	*	6495,-10438,-10440,-10436
contig_7896	167381	10	N	N	1	*	*,7896,*
contig_8304	166033	8	N	N	1	*	*,8304,*
contig_6947	165903	13	N	N	1	*	6943,6947,*
contig_6694	165482	37	N	N	2	*	-7162,-7164,6694
contig_12709	165168	10	N	N	1	*	*,12709,*
contig_474	164985	25	N	N	1	*	-522,474,-4724,-473,23457
contig_5910	164747	31	N	N	1	*	5910,*
contig_1809	163093	14	N	N	1	*	*,1809
contig_5133	162562	16	Y	N	1	*	5133
contig_10568	162544	33	N	N	1	*	10568
contig_2536	161919	18	N	N	1	*	2536,9028
contig_7699	161782	11	N	N	1	*	*,24351,7699,*
contig_11267	158812	9	N	N	1	*	*,11267,11268,*
contig_512	158722	27	N	N	1	*	522,-338,512
contig_1033	158295	47	N	N	2	*	*,19142,1033
contig_11445	158176	13	N	N	1	*	*,11445,13597
contig_1045	157919	10	N	N	1	*	1045,-24036
contig_24434	157913	101	N	N	3	*	24434
contig_23618	157849	31	N	N	1	*	23618
contig_5092	157785	111	N	N	4	*	*,5092,6173
contig_1826	157130	13	N	N	1	*	1826
contig_12984	156784	12	N	N	1	*	*,12984,*
contig_24802	156527	11	N	N	1	*	*,24801,24802,*
contig_9008	156178	8	N	N	1	*	*,9008,*
contig_7659	155831	9	N	N	1	*	*,7659,*
contig_24318	155806	65	N	N	2	*	-7417,24318,-14450
contig_3280	155278	14	N	N	1	*	8034,3280
contig_23864	155222	12	N	N	1	*	*,23864,*
contig_1408	155083	19	N	N	1	*	23599,1408,*
contig_1	154002	11	N	N	1	*	*,1,12
contig_8226	152236	36	N	N	1	*	*,-3718,8226,-16779
contig_24211	151342	27	N	N	1	*	24211
contig_7496	150606	13	N	N	1	*	*,7496,*
contig_13126	150330	9	N	N	1	*	*,13126,13127,*
contig_14845	149302	24	N	N	1	*	14845
contig_4382	149141	28	N	N	1	*	4382,*
contig_1779	149078	14	N	N	1	*	*,1779,-5321
contig_9493	148880	35	N	N	1	*	9493
contig_2987	148383	17	N	N	1	*	2987,-5080,-5079,-5078,-5075
contig_2067	148332	12	N	N	1	*	-2003,2067,-24423,*
contig_3441	147081	28	N	N	1	*	7728,-23502,3441
contig_24352	146304	12	N	N	1	*	*,24351,24352,*
contig_6212	144575	13	N	N	1	*	*,6212,*
contig_3793	144290	22	N	N	1	*	-3784,3785,3793,*
contig_5992	144264	7	N	N	1	*	*,5992
contig_12060	144162	33	N	N	1	*	-17489,12060,18670,18670,18670,18670,18670,18670,18670,18670
contig_1806	143993	12	N	N	1	*	1806,*
contig_8070	143759	13	N	N	1	*	*,8070,-5563
contig_8915	143182	13	N	N	1	*	*,8914,8915
contig_2832	142881	10	N	N	1	*	-9164,2832,*
contig_6950	142414	12	N	N	1	*	*,6950,*
contig_6012	141426	49	N	N	2	*	-3849,6012,6014,-24503
contig_3374	140210	23	N	N	1	*	*,3374,-23853
contig_3462	139359	18	N	N	1	*	3462,-14008
contig_3855	139313	58	N	N	2	*	3855,-2887
contig_1778	139033	13	N	N	1	*	1811,-5327,1778,-23587
contig_7435	139022	28	N	N	1	*	7435,18289
contig_4526	138673	10	N	N	1	*	4520,4508,4509,4526,*
contig_6313	138631	9	N	N	1	*	*,6313,*
contig_1598	138072	14	N	N	1	*	1598,*
contig_5530	137877	18	N	N	1	*	5530,-8864
contig_15775	137186	9	N	N	1	*	*,15775,*
contig_1044	136447	9	N	N	1	*	23519,1044
contig_588	136348	9	N	N	1	*	588
contig_2704	136284	516	N	N	23	*	-2607,-2606,2606,2607,2704,23725,2639,2640
contig_3061	136088	28	N	N	1	*	3061,-2531
contig_12240	136053	9	N	N	1	*	*,12240,*
contig_1499	136047	25	N	N	1	*	1499
contig_1109	136032	168	N	N	7	*	1109,5725,*
contig_2988	136031	58	N	N	2	*	2988
contig_15930	135903	23	N	N	1	*	1476,15930
contig_21557	135266	16	N	N	1	*	21557
contig_381	134566	30	N	N	1	*	-23452,485,381,-415
contig_13554	133646	6	N	N	1	*	*,13554,*
contig_23772	133540	21	N	N	1	*	23772
contig_7695	133478	8	N	N	1	*	*,7695,-6185,-6184
contig_1769	132938	12	N	N	1	*	-1786,1769,*
contig_23575	132883	12	N	N	1	*	23575,*
contig_1780	132753	13	N	N	1	*	*,1780,-3606
contig_12605	132338	10	N	N	1	*	*,12605,*
contig_1507	132243	24	N	N	1	*	1507,*
contig_8902	132220	10	N	N	1	*	*,8902,*
contig_5947	131803	7	N	N	1	*	*,5947,*
contig_4921	131574	9	N	N	1	*	4921,*
contig_5297	131253	9	N	N	1	*	*,5297
contig_11534	130986	9	N	N	1	*	*,11534,15445,*
contig_24807	130901	5	N	N	1	*	*,24807,*
contig_3018	130710	50	N	N	2	*	*,-9478,3018
contig_5944	129652	7	N	N	1	*	*,5944,9865,*
contig_10835	129362	10	N	N	1	*	*,10835,*
contig_6753	129305	16	N	N	1	*	*,6753
contig_6701	129009	11	N	N	1	*	796,6700,6698,6698,6699,6701,*
contig_3797	128849	16	N	N	1	*	*,3797,24699
contig_5111	128805	10	N	N	1	*	*,5111,*
contig_13726	128723	11	N	N	1	*	*,13726
contig_23514	128595	8	N	N	1	*	784,-786,23514,*
contig_3463	128250	14	N	N	1	*	*,3463,-14008
contig_22977	128030	13	N	N	1	*	*,22977,*
contig_1213	127793	12	Y	N	1	*	1213
contig_3951	127726	20	N	N	1	*	-3916,-3932,-3908,-3907,3951
contig_24750	127479	9	N	N	1	*	*,24750,10849,*
contig_24100	127108	11	N	N	1	*	24100
contig_960	127088	12	N	N	1	*	-881,960,-25066,*
contig_24473	126992	16	N	N	1	*	24473,*
contig_5375	125993	6	N	N	1	*	*,2295,5375,*
contig_23740	125956	9	N	N	1	*	*,23740,*
contig_5159	124789	15	N	N	1	*	*,-8163,5159
contig_986	124674	10	N	N	1	*	986,2421,3757,-3818,-3817,-3816,-3733
contig_8711	124409	10	N	N	1	*	*,8711
contig_4379	124100	32	N	N	1	*	4379
contig_1042	123344	50	N	N	2	*	-1014,1042,*
contig_1638	122963	18	N	N	1	*	-2023,1638,2063
contig_589	122892	9	N	N	1	*	-623,589
contig_10506	122840	13	N	N	1	*	10506,*
contig_453	122571	17	N	N	1	*	*,1690,23584,453,354,355
contig_10519	122497	13	N	N	1	*	-1737,10519
contig_10687	122477	11	N	N	1	*	1584,1584,1585,10687,*
contig_3879	121804	10	N	N	1	*	3879,4784
contig_2935	121336	12	N	N	1	*	*,-14111,2935,*
contig_1939	121291	21	N	N	1	*	1939,*
contig_4515	121268	10	N	N	1	*	4515
contig_2443	121226	26	N	N	1	*	3787,2443,-3785,3784,3787
contig_5504	121162	9	N	N	1	*	*,5504,*
contig_23597	121109	14	N	N	1	*	-1695,23597,*
contig_24704	121057	12	N	N	1	*	*,24704,*
contig_3575	120897	10	N	N	1	*	3575,*
contig_2442	120840	24	N	N	1	*	-3784,3785,2442,-3787
contig_9059	120660	15	N	N	1	*	*,9059
contig_3794	120644	19	N	N	1	*	3792,3794,*
contig_5381	120356	25	N	N	1	*	330,5381,23449
contig_8896	120124	4	N	N	1	*	*,8896,*
contig_894	119526	10	N	N	1	*	894,-2043
contig_1544	119460	21	N	N	1	*	*,1544,*
contig_9305	118886	12	N	N	1	*	*,9305,*
contig_24311	118832	14	N	N	1	*	24311,*
contig_2582	118774	10	N	N	1	*	2559,2560,2571,-2571,-2560,-2559,2582,*
contig_25371	118367	7	N	N	1	*	*,25371,*
contig_23458	118217	29	N	N	1	*	-353,-353,-410,23458
contig_1702	118019	13	N	N	1	*	-23586,-1757,1701,1702,-23585,-1743
contig_6178	118005	12	N	N	1	*	*,6178,*
contig_1949	117683	16	N	N	1	*	-14512,1949
contig_4262	117379	8	N	N	1	*	*,4262,*
contig_4525	116800	9	N	N	1	*	4507,4507,-4521,4508,4509,4525,*
contig_25015	116752	9	N	N	1	*	*,25015,*
contig_1496	116628	26	N	N	1	*	10800,-1512,1496
contig_6948	116467	27	N	N	1	*	6943,6948,9581,12787
contig_19992	116193	6	N	N	1	*	*,19992,*
contig_1626	115846	21	N	N	1	*	1626
contig_1292	115662	10	N	N	1	*	24099,1292,*
contig_25151	114952	10	N	N	1	*	*,25151,*
contig_593	114750	9	N	N	1	*	*,593,643
contig_10517	114645	9	N	N	1	*	*,10517,7386,*
contig_24361	114279	10	N	N	1	*	*,24361,*
contig_10307	114273	9	N	N	1	*	10307,*
contig_475	114250	28	N	N	1	*	566,475,-448
contig_1632	114109	7	N	N	1	*	*,1632,*
contig_6159	113602	78	N	N	3	*	6159,-9133
contig_12499	113135	16	N	N	1	*	2550,12499
contig_25143	112823	13	N	N	1	*	*,25143,*
contig_13235	112614	7	N	N	1	*	*,13235,*
contig_10940	112192	4	N	N	1	*	*,10940,*
contig_6049	111987	11	N	N	1	*	*,6049,*
contig_587	111859	8	N	N	1	*	*,587,632
contig_13973	111558	5	N	N	1	*	*,13973,*
contig_4786	111507	11	N	N	1	*	*,4786,6594
contig_4710	110886	9	N	N	1	*	4710,*
contig_4414	110855	10	N	N	1	*	*,4414,*
contig_5816	110306	50	N	N	2	*	5816,*
contig_1282	109844	10	N	N	1	*	1282,*
contig_19687	109229	9	N	N	1	*	*,19687,*
contig_69	109191	10	N	N	1	*	-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,69,*
contig_4733	109121	5	N	N	1	*	*,4733
contig_491	109049	28	N	N	1	*	438,330,439,330,491,23462,394,395,396
contig_24125	108748	75	N	N	3	*	24125
contig_10872	108657	16	Y	N	1	*	10872
contig_2747	108564	10	N	N	1	*	2572,2559,2747,*
contig_3465	108182	22	N	N	1	*	*,3465,*
contig_2429	107920	18	N	N	1	*	2429,-2418
contig_2637	107909	355	N	N	15	*	-23699,2605,-2570,-2570,-2570,2637,-23707,-23706,-23683,23729,-2750
contig_5262	107579	181	N	N	8	*	5262
contig_22051	107473	9	N	N	1	*	*,22051,*
contig_9212	107052	7	N	N	1	*	*,9212,-5233,*
contig_6696	106931	6	N	N	1	*	*,6696,*
contig_24580	106893	276	N	N	12	*	24580
contig_15614	105983	5	N	N	1	*	*,15614,*
contig_3387	105811	14	Y	N	1	*	3387
contig_21874	105616	7	N	N	1	*	*,21874,*
contig_1914	105345	248	N	N	11	*	1914
contig_25441	105237	7	N	N	1	*	*,25441,*
contig_20836	105117	14	N	N	1	*	*,20836,*
contig_11567	104926	9	N	N	1	*	*,11567,*
contig_9621	104886	5	N	N	1	*	*,9621,*
contig_3822	104687	25	N	N	1	*	-6889,3822
contig_18441	104651	10	N	N	1	*	*,18441,*
contig_8432	104407	146	N	N	6	*	8432,8433,8433
contig_3455	104377	16	N	N	1	*	3455,-4736
contig_9352	104182	8	N	N	1	*	*,9352
contig_9207	103900	6	N	N	1	*	*,9207,16061,16061,*
contig_18279	103786	12	N	N	1	*	*,18279,*
contig_22267	103577	7	N	N	1	*	*,22267,*
contig_1458	103245	7	N	N	1	*	-1476,1458,-1502,-1467,23557,-1472
contig_2287	102975	12	N	N	1	*	13358,-13357,2287,4708
contig_5953	102968	7	N	N	1	*	*,5953,*
contig_16548	102801	8	N	N	1	*	*,16548,*
contig_20259	102713	10	N	N	1	*	*,20259,*
contig_24119	102185	11	N	N	1	*	*,24119,*
contig_11816	102090	5	N	N	1	*	*,11816,*
contig_1494	102052	19	N	N	1	*	1494
contig_19610	101816	8	N	N	1	*	*,19610,*
contig_964	101810	19	N	N	1	*	-799,-799,-799,964
contig_14954	101327	11	N	N	1	*	*,14954,*
contig_4178	101200	9	N	N	1	*	*,4178,*
contig_3722	101049	5	N	N	1	*	3722,*
contig_5356	100754	40	N	N	2	*	5357,5356,7164,7162
contig_23446	100737	28	N	N	1	*	23469,23446,435,436,-352
contig_11569	100512	7	N	N	1	*	*,11569
contig_4706	100155	9	N	N	1	*	*,-19800,4706
contig_4423	99947	11	N	N	1	*	*,4423,*
contig_23603	99890	250	N	N	11	*	23603
contig_555	99745	25	N	N	1	*	23448,-440,-350,420,555,338
contig_25169	99671	8	N	N	1	*	*,25169,*
contig_7662	99628	11	N	N	1	*	*,7662,*
contig_18364	99613	5	N	N	1	*	*,18364,*
contig_5732	99486	234	N	N	10	*	5732
contig_10035	99478	9	N	N	1	*	*,10035,*
contig_25295	99299	8	N	N	1	*	*,25295,*
contig_5854	99269	12	N	N	1	*	10915,-6248,5854,*
contig_23764	98917	70	N	N	3	*	6162,23764
contig_4690	98799	39	N	N	2	*	4690,-7162
contig_8632	98735	9	N	N	1	*	*,8632,*
contig_7522	98507	35	N	N	2	*	7522
contig_2952	98024	10	N	N	1	*	*,2952,-2945
contig_25081	97923	9	N	N	1	*	25081,*
contig_4218	97905	5	N	N	1	*	4218,*
contig_12677	97647	8	N	N	1	*	*,12677,*
contig_23281	97617	12	N	N	1	*	*,23281,*
contig_5893	97437	13	N	N	1	*	*,5893,-13100,*
contig_6235	97428	8	N	N	1	*	6235
contig_5993	97275	8	N	N	1	*	5993,5987
contig_24277	97266	10	N	N	1	*	-7162,-7163,24277
contig_7898	97207	7	N	N	1	*	*,7898,*
contig_4472	96951	35	N	N	1	*	4472,24035,5555
contig_23735	96645	12	N	N	1	*	*,23735,*
contig_1834	96281	12	N	N	1	*	1834,*
contig_4043	96186	10	N	N	1	*	*,4043,11258,-7162
contig_24103	96049	6	N	N	1	*	-5987,24103,*
contig_5656	95534	3	N	N	1	*	*,5656,*
contig_2035	95383	30	N	N	1	*	2035,-2040,-2008,-2007
contig_2929	95182	80	N	N	3	*	2929,2406
contig_6028	95057	7	N	N	1	*	*,6028,*
contig_1683	95045	7	N	N	1	*	*,1683,*
contig_17948	95040	4	N	N	1	*	*,17948,*
contig_7180	94671	13	N	N	1	*	*,7180,1786
contig_24459	94279	8	N	N	1	*	*,24459,*
contig_16159	94204	14	N	N	1	*	*,16159
contig_16867	94088	10	N	N	1	*	16866,16867,*
contig_10682	93754	7	N	N	1	*	*,10682,*
contig_9811	93657	32	N	N	1	*	*,9811
contig_9491	93573	29	N	N	1	*	14027,-14024,9491,*
contig_12062	93188	8	N	N	1	*	*,12062,*
contig_24824	93168	11	N	N	1	*	24824
contig_9283	93123	9	N	N	1	*	*,9283,25971,*
contig_19710	92848	11	N	N	1	*	*,19710,*
