contigName	contigLen	totalAvgDepth	1_cov.bam	1_cov.bam-var	2_cov.bam	2_cov.bam-var
contig_3533	11168	2.98893	2.98893	0.920037	1.19377	6.58022
contig_13717	15814	3.65283	3.65283	2.18555	3.51507	4.93643
contig_8549	2460	5.04632	5.04632	0.507588	10.303	38.3203
contig_13632	4433	16.3951	16.3953	17.295	23.0339	109.907
contig_13817	6232	2.91138	2.91138	1.33548	3.74844	8.59455
contig_9897	16137	3.32839	3.32839	2.57739	2.94414	9.11763
contig_11821	2556	3.10723	3.10723	0.181427	0.899418	2.30424
contig_9950	7281	4.05806	4.05806	5.42108	4.73917	47.7071
contig_22764	12300	4.43333	4.43342	3.15436	8.3377	12.5768
contig_24454	58262	10.0768	10.0768	9.1031	14.3682	28.0536
contig_22673	32594	4.20013	4.20013	2.64018	5.54136	8.99287
contig_15361	1436	1.23795	1.23795	0.184585	2.65241	2.45733
contig_16934	7577	3.30308	3.30308	2.68514	3.41363	6.42893
contig_20107	4453	2.5122	2.5122	0.45818	2.4053	3.14198
contig_9201	3488	3.97873	3.97873	0.686691	6.18334	11.9379
contig_23215	29088	3.08891	3.08891	1.6608	1.4594	2.45911
contig_13881	35541	6.91108	6.91108	6.75773	3.7075	10.9297
contig_22365	24998	3.50181	3.50181	1.86229	5.71072	7.49816
contig_12181	5078	3.04444	3.04444	0.773124	2.67634	9.46999
contig_25536	33487	11.2308	11.2308	30.8305	10.159	39.0785
contig_12252	6529	4.48362	4.48362	4.78359	2.11695	3.03714
contig_10677	4722	3.17345	3.17345	2.61326	9.29221	53.8634
contig_11076	37505	5.37923	5.37923	4.01469	7.22289	14.8618
contig_18031	3005	3.669	3.669	0.256555	3.05184	2.3856
contig_5689	13004	5.3199	5.3199	1.55381	7.48996	21.1452
contig_23623	20602	49.5966	49.5966	494.368	42.6765	414.942
contig_16978	4174	5.08897	5.08897	3.56055	3.12922	7.12436
contig_24587	7483	4.18669	4.18669	0.913166	3.26142	7.58612
contig_11781	3439	1.3609	1.3609	0.52695	6.8118	16.561
contig_23925	8801	3.77401	3.77401	1.02923	5.05421	10.3818
contig_4392	6057	5.46132	5.46132	39.0759	10.7335	238.957
contig_16571	4294	2.95753	2.95753	1.62123	6.10763	13.3142
contig_17804	48920	5.88583	5.88583	5.04838	6.43002	14.0388
contig_22807	16056	3.62172	3.62172	1.71781	5.01829	21.1623
contig_3724	7012	6.18406	6.18406	45.5748	24.0252	1571.53
contig_7302	3446	9.71359	9.71359	4.57282	11.8389	22.524
contig_25255	13763	3.10277	3.10277	0.915912	3.98553	3.27773
contig_14767	12270	7.49422	7.49422	6.62896	14.2644	16.9382
contig_10447	10736	2.61298	2.61298	0.46294	1.38334	2.31759
contig_488	8213	3.60796	3.60796	0.30537	3.74997	9.83576
contig_17964	2040	10.0762	10.0762	1.56329	16.5942	22.6056
contig_18021	14694	3.87851	3.87851	4.24108	4.98102	13.6274
contig_12475	2522	1.18845	1.18845	0.185059	1.28626	1.17785
contig_7602	10994	4.03799	4.03799	3.33445	5.75876	11.4265
contig_12027	2126	0.887652	0.887652	0.0997772	7.36488	26.0699
contig_21343	2381	4.60063	4.60063	1.05434	4.63559	3.63351
contig_8721	17595	11.6914	11.6914	35.1106	19.2741	128.399
contig_10989	35602	28.2534	28.2534	151.573	21.9651	129.825
contig_14912	2293	2.95427	2.95427	0.0445923	2.55203	3.01679
contig_10354	1061	1.26784	1.26784	0.19851	26.9155	228.296
contig_22823	6584	3.67983	3.67983	1.12252	2.31582	3.62911
contig_17391	16441	5.03499	5.03499	20.5629	6.98281	190.238
contig_11228	11116	4.94483	4.94483	2.61102	2.8623	5.52758
contig_23227	8417	2.63155	2.63155	0.334099	0.794	1.71356
contig_4087	1290	2.02368	2.02368	1.12762	25.5456	278.998
contig_9640	14352	6.12188	6.12188	1.48553	6.92043	10.5543
contig_19847	2278	3.77632	3.77632	1.07359	5.07096	13.2049
contig_5096	1208	0.936673	0.936673	0.0593728	7.57372	83.0232
contig_14484	3054	3.80337	3.80337	0.598933	2.89015	2.36036
contig_20360	6544	3.13059	3.13059	1.1838	4.46262	8.98919
contig_4772	65597	8.39054	8.39054	13.2329	6.92376	13.9805
contig_10630	8431	13.2989	13.2989	3.95698	25.6461	56.4603
contig_19981	2336	4.65188	4.65188	0.324057	7.39158	28.8306
contig_7540	1996	1.7454	1.7454	0.193133	1.17226	3.35568
contig_16907	3284	2.87013	2.87013	0.127721	2.7626	2.47538
contig_14519	4900	4.80295	4.80295	2.80942	7.87958	5.61138
contig_8405	1760	12.3311	12.3311	4.78716	52.6242	124.692
contig_13050	7872	2.47138	2.47138	0.710304	1.76444	2.50898
contig_19839	3009	4.05771	4.05771	0.597431	2.82721	3.6937
contig_8929	35271	4.4392	4.4392	4.90137	5.54372	13.6762
contig_15827	15647	3.16416	3.16416	0.423375	4.7102	6.69584
contig_4528	1568	1.52327	1.52327	0.258099	3.34344	3.90667
contig_22637	4938	2.10317	2.10317	0.146446	0.247494	0.30746
contig_22685	12828	4.70413	4.70413	5.74091	8.50213	33.0893
contig_19162	2392	1.39786	1.39786	0.261091	2.90946	3.97439
contig_763	926294	21.7003	21.7003	27.8762	40.1245	127.653
contig_23265	13723	3.61969	3.61969	2.22026	6.62131	11.63
contig_5433	5474	1.15383	1.15402	0.733725	3.142	81.1767
contig_3930	4131	5.47099	5.47099	2.65722	18.6762	22.568
contig_21281	8247	5.05409	5.05409	10.7659	3.64036	16.7003
contig_15312	5372	4.20624	4.20624	20.6917	8.68863	77.3675
contig_12163	13045	3.35401	3.35401	0.961896	5.80651	11.6641
contig_8333	12917	24.5625	24.5625	28.8322	17.7544	32.2018
contig_15424	1554	1.11467	1.11467	0.932682	0.730769	2.24956
contig_13288	1956	1.75858	1.75858	0.635314	5.38427	24.1284
contig_22710	32115	3.08794	3.08794	1.31816	1.31269	2.2092
contig_9984	18343	6.63316	6.63316	6.18783	2.76398	5.93197
contig_9947	64497	6.24955	6.24955	9.86326	5.60847	15.1421
contig_15689	4161	4.67639	4.67639	0.823939	0.922713	1.17856
contig_18267	6291	3.45856	3.45856	2.83331	9.28416	14.1844
contig_4635	8711	2.58147	2.58147	0.584509	2.62808	4.88586
contig_8843	69930	6.08924	6.08924	6.43299	5.30576	10.1838
contig_23118	11750	3.36991	3.36991	2.008	1.14155	1.655
contig_19223	10387	2.67764	2.67764	0.887254	4.74114	7.09026
contig_23497	23155	3.13736	3.13736	1.65766	4.74353	6.41609
contig_206	3378	5.68897	5.68897	3.44952	18.1973	165.695
contig_20428	10121	5.45261	5.45261	3.75633	3.90442	5.52801
contig_14016	5154	2.94524	2.94524	2.62669	6.39169	16.0878
contig_25659	7750	5.20053	5.20053	2.77931	2.12789	3.65393
contig_18959	3325	2.83055	2.83055	1.20375	1.10835	1.51882
contig_22215	14406	2.83207	2.83207	2.78118	4.11841	7.88859
contig_18269	6588	5.71777	5.71777	1.55949	3.11991	4.61196
contig_25139	12684	4.57651	4.57659	1.72412	6.59694	15.6314
contig_6464	1176	0.237817	0.237817	0.181438	1.38499	2.99797
contig_6927	7079	4.79896	4.79896	2.86765	5.17001	7.60449
contig_4709	18884	5.35983	5.35983	4.38676	9.88636	30.4525
contig_7473	3913	7.75126	7.75126	14.3489	3.32341	8.82979
contig_22541	5254	2.38107	2.38107	0.945705	1.25568	2.90608
contig_8782	59338	9.95372	9.95372	27.1514	8.26901	52.2777
contig_9215	11470	8.19117	8.19117	6.32267	7.20875	10.6301
contig_9047	25249	4.4891	4.4891	2.54818	7.53189	9.58882
contig_2426	22703	13.4559	13.4559	50.4498	10.0387	31.643
contig_12696	7683	8.6218	8.6218	7.22076	9.9396	15.9258
contig_19745	2593	2.2939	2.2939	2.5009	3.14409	3.82115
contig_20440	7229	2.78019	2.78019	1.24216	0.867213	1.90973
contig_25212	15577	4.45349	4.45349	4.95519	3.44066	6.25421
contig_24680	9732	13.2832	13.2832	46.9979	8.37811	16.4828
contig_22757	29332	12.6064	12.6064	14.9377	8.39141	15.6872
contig_24508	1878	18.2992	18.2992	27.5844	99.2199	1682.26
contig_18523	2178	3.90434	3.90434	7.09286	18.0567	366.348
contig_25883	28898	2.80263	2.80263	1.33963	6.75758	12.0555
contig_23231	18916	3.35975	3.35975	2.03295	4.59874	9.20392
contig_24079	2788	3.11069	3.11069	1.35823	4.20356	3.93765
contig_538	29923	7.68078	7.68078	5.11747	9.92527	93.2337
contig_14535	4159	2.72437	2.72437	0.301494	1.76353	3.22304
contig_3953	261909	18.7276	18.7276	75.4667	41.2074	670.518
contig_5519	6183	10.4092	10.4092	5.18779	8.96934	15.2453
contig_12281	2228	2.74735	2.74735	1.46766	20.3619	575.854
contig_19798	2197	4.4172	4.4172	2.35666	18.8569	18.3005
contig_12931	8457	1.88961	1.88961	1.23472	5.30601	10.7853
contig_24055	7689	3.70248	3.70248	4.35531	1.98926	4.79856
contig_24407	7296	2.91422	2.91422	1.24214	6.64624	7.28012
contig_15937	8214	7.25161	7.25161	8.73642	5.96193	20.9763
contig_15126	2863	4.0199	4.0199	1.83145	12.4711	7.21093
contig_1953	16954	13.2883	13.2883	14.1377	30.659	95.0989
contig_12408	31438	3.4379	3.4379	2.37654	4.82527	21.2881
contig_15822	13125	3.92994	3.92994	0.84493	4.47584	8.10405
contig_23486	8841	4.93384	4.93384	2.87134	10.8863	30.2358
contig_24390	13544	6.41101	6.41101	4.32938	4.00336	5.82317
contig_20749	2801	3.5496	3.5496	0.874824	9.18898	125.824
contig_5289	5071	6.79699	6.79699	13.3355	3.56675	5.57971
contig_23637	7561	7.59628	7.59628	4.98577	9.12441	16.0246
contig_21435	2403	3.68975	3.68975	0.947658	1.16245	1.15299
contig_21910	3144	3.3153	3.3153	0.495947	5.11657	6.81402
contig_10743	13200	2.42759	2.42759	0.388199	3.76989	29.5557
contig_7330	2588	3.53199	3.53199	0.7776	5.6009	12.3817
contig_20325	7905	4.14984	4.14984	2.99059	7.29426	12.1251
contig_7266	2834	4.90611	4.90611	0.43769	3.95976	8.70119
contig_19401	16860	4.95637	4.95637	3.10912	6.71382	12.2617
contig_12410	21377	3.0823	3.0823	1.82144	6.41551	7.87241
contig_25670	6353	5.26568	5.26568	2.00739	4.1409	4.43928
contig_24154	4468	6.30315	6.30338	3.77133	8.06739	109.115
contig_8132	9500	10.8368	10.8368	29.1473	18.1729	251.446
contig_9181	6054	3.53201	3.53201	1.17464	1.62263	3.04003
contig_757	15627	6.01816	6.01816	3.10331	4.04833	10.3728
contig_3172	1148	11.1523	11.1523	5.4292	35.3347	39.6933
contig_1106	84609	11.2201	11.2201	19.0469	14.6522	374.932
contig_23620	4612	6.56074	6.56074	1.86346	7.88862	19.2479
contig_7321	16727	4.23726	4.23726	2.51053	3.93841	12.5436
contig_19197	1091	0.156217	0.156217	0.227697	1.356	2.35502
contig_25442	25561	30.2693	30.2693	280.87	67.521	1494.16
contig_25426	2219	6.43741	6.43741	1.84481	9.63316	37.8464
contig_7061	11026	5.40833	5.40842	8.28467	5.91936	15.4749
contig_14083	37186	4.76166	4.76169	6.12993	5.29593	16.6871
contig_10162	8333	3.60308	3.60308	7.57419	6.6599	44.6008
contig_19693	11092	6.50119	6.50119	2.87215	9.56927	26.0654
contig_12294	6242	3.96963	3.96963	2.73831	4.34767	6.5609
contig_22402	1215	37.2873	37.2873	37.6336	95.7192	358.254
contig_22428	7269	4.25678	4.25692	1.38484	5.02809	9.37061
contig_5884	5530	2.81543	2.81561	1.08925	9.77807	15.3636
contig_6409	4480	7.51709	7.51709	6.47596	9.58961	35.7298
contig_2502	4310	1.97476	1.97476	0.604096	2.79688	5.24706
contig_5415	5953	55.6174	55.6174	45.9053	100.247	223.508
contig_15932	28980	25.4711	25.4711	77.2049	51.0044	526.458
contig_5111	128659	9.03106	9.03106	7.6843	15.8255	25.9509
contig_24203	11101	6.32956	6.32956	2.44979	12.8079	22.9434
contig_23015	2796	3.59751	3.59751	8.79559	3.4743	29.8728
contig_14881	6587	3.59997	3.59997	3.31038	5.38046	15.2404
contig_18353	3141	3.13975	3.13975	2.13901	2.25443	1.74764
contig_11428	23901	4.93449	4.93449	3.01155	4.04732	6.50532
contig_9868	13233	3.12253	3.12253	2.196	3.29351	9.95145
contig_23667	6435	10.203	10.203	30.8676	6.98839	37.5527
contig_17024	3214	2.37076	2.37076	0.488036	2.40144	1.98701
contig_13497	6210	3.79802	3.79802	2.40877	6.08003	9.18733
contig_6128	13116	6.02815	6.02815	5.23541	5.69621	15.3064
contig_24895	3899	8.83436	8.83436	5.19907	15.3385	22.7906
contig_6823	2985	1.96896	1.96896	0.754144	11.9764	31.6251
contig_17936	1107	4.38767	4.38767	0.296208	5.21317	14.078
contig_21597	5084	2.39664	2.39664	0.604255	2.11005	3.1034
contig_6945	8611	9.5172	9.5172	19.8588	8.34807	33.2266
contig_1333	4216	14.1237	14.1237	41.5971	29.275	241.583
contig_5097	62031	19.1731	19.1731	16.705	27.355	59.3911
contig_13220	6299	6.52139	6.52139	1.66922	6.94243	8.4298
contig_10614	1947	1.77351	1.77351	1.16858	2.65832	5.30519
contig_17228	13096	5.21412	5.21412	1.61817	4.27151	8.16958
contig_22309	17669	4.47897	4.47897	5.63543	6.06564	15.6273
contig_14816	10964	5.05169	5.05178	2.11179	4.31025	7.70591
contig_6399	7152	15.6879	15.6879	56.2793	20.3776	113.77
contig_20122	2678	6.32991	6.32991	1.30623	4.11828	10.8135
contig_2783	14690	41.2542	41.2542	1007.97	30.8217	752.913
contig_15446	3119	2.77871	2.77871	1.76809	7.87302	9.24745
contig_25420	15499	4.48961	4.48961	5.17006	1.37944	2.58545
contig_9911	1275	1.992	1.992	0.00794301	0.469333	0.249282
contig_9740	5928	1.94946	1.94946	0.878495	6.55036	10.357
contig_18281	4872	2.96082	2.96103	0.956716	2.19589	4.53799
contig_12979	39627	5.16627	5.16627	3.32683	6.45761	37.4101
contig_20864	2571	1.50434	1.50434	0.252555	2.943	2.47281
contig_8508	8672	5.18881	5.18881	4.00002	13.0249	48.4311
contig_7875	4852	5.20204	5.20204	11.9289	9.23245	68.7259
contig_21221	8164	4.18131	4.18131	1.7706	3.4164	5.27118
contig_23635	17957	13.1937	13.1937	111.177	7.12832	31.7491
contig_11491	1587	3.42658	3.42658	0.63475	2.1872	2.71912
contig_4412	36234	7.24451	7.24451	21.6797	5.40375	28.5895
contig_4470	9494	14.7089	14.7089	14.3753	14.1596	53.077
contig_4400	7961	3.59211	3.59211	0.848691	2.33427	3.22649
contig_3265	4000	2.77013	2.77013	2.48724	3.48545	4.42238
contig_15044	18714	5.09158	5.09158	3.76646	7.22592	14.1551
contig_8674	3196	1.58667	1.58667	0.66624	2.44714	6.69908
contig_24553	2973	8.43925	8.43925	33.5595	33.8863	811.58
contig_19792	3040	2.42457	2.42491	0.44314	1.53391	3.67419
contig_24323	7499	4.73575	4.73575	3.08811	8.30739	11.8834
contig_1827	5617	9.12566	9.12566	2.5804	10.2808	15.1497
contig_1630	5439	2.50917	2.50917	0.396338	0.657213	1.21063
contig_6312	13851	4.66083	4.66083	2.07556	3.30042	6.52598
contig_10830	14099	6.42763	6.42763	4.74319	5.65883	8.36187
contig_10276	1479	5.51618	5.51618	0.60985	5.47705	4.1698
contig_7186	49621	10.9282	10.9282	15.6284	8.73801	19.1475
contig_11030	22065	3.84011	3.84011	3.7991	3.67456	6.13976
contig_3894	27684	3.79985	3.79985	3.48504	4.73731	14.4403
contig_21596	4873	2.27334	2.27334	1.15803	0.834639	1.29563
contig_19370	16913	7.47384	7.47384	4.19107	10.2212	16.3437
contig_10025	2919	4.7844	4.7844	7.39825	6.07728	26.9338
contig_22599	15346	2.56811	2.56811	0.761813	2.74006	2.72671
contig_22371	33958	4.23379	4.23379	5.92253	4.94587	8.84379
contig_18477	34109	5.8411	5.8411	5.50239	5.41176	10.6483
contig_22326	2768	2.49847	2.49847	0.255442	0.522918	0.628625
contig_7203	7049	3.38281	3.38281	0.879066	2.0287	3.72017
contig_9296	9876	12.3446	12.3447	136.332	17.2279	341.674
contig_14742	31141	3.35685	3.35685	2.90505	2.52922	5.7596
contig_15459	7634	3.27753	3.27753	3.58966	3.89003	15.7998
contig_1905	304210	215.407	215.407	1847.37	422.418	10411
contig_19007	2262	7.30066	7.30066	5.9329	4.4143	5.47735
contig_15119	1346	0.413043	0.413043	0.52214	12.2517	20.222
contig_7387	9230	2.67632	2.67632	2.0721	5.8065	12.04
contig_17378	7199	4.97489	4.97489	12.0276	1.84324	3.19366
contig_4880	1919	6.0407	6.0407	1.82189	14.338	61.5675
contig_17176	2368	3.56718	3.56763	1.29919	0	0
contig_14252	4033	5.52562	5.52562	1.5694	2.83724	6.93404
contig_7172	1921	1.95596	1.95596	0.0421263	1.91982	4.87038
contig_11354	14404	4.67869	4.67869	5.189	3.00007	5.36652
contig_18460	10019	2.30722	2.30722	0.995739	2.35779	3.71141
contig_5621	1060	10.1868	10.1868	1.45902	8.24286	17.6516
contig_21720	24162	3.65184	3.65184	2.93837	2.61661	5.42942
contig_637	26292	8.36371	8.36374	8.8209	10.5496	60.5446
contig_22957	4546	4.16424	4.16424	3.68959	2.28412	3.34656
contig_2342	2369	6.39657	6.39657	1.79302	6.71293	50.9734
contig_11760	6249	2.90212	2.90212	1.23785	4.28529	5.46411
contig_24478	61441	6.70511	6.70511	5.1895	7.71312	13.7588
contig_24892	65083	6.0728	6.0728	4.59674	10.8282	16.6668
contig_15723	11754	2.82911	2.82911	2.08232	1.3934	2.25409
contig_20735	9131	4.47801	4.47801	2.81553	3.92495	8.24935
contig_982	19349	6.65087	6.65087	4.72417	17.7591	112.154
contig_12631	24699	3.70304	3.70304	2.13683	4.39289	8.51833
contig_14633	4855	2.94283	2.94283	0.583696	5.78959	9.22918
contig_11626	26446	4.97935	4.97935	4.05998	4.95315	30.964
contig_12396	1625	1.24271	1.24271	0.407803	7.3939	26.6935
contig_22255	8807	8.65427	8.65427	14.0372	9.95876	62.7362
contig_21086	2756	1.73561	1.73561	0.195327	1.95472	3.80599
contig_573	1962	2.80132	2.80132	0.859448	5.65342	22.2893
contig_21830	1646	5.43449	5.43449	1.57699	1.56417	2.33301
contig_4971	27555	7.86079	7.86079	15.3691	5.17803	27.8657
contig_12964	5607	13.0718	13.0718	5.57387	55.3616	130.076
contig_10013	3684	3.18449	3.18449	0.850761	2.36757	4.89431
contig_21317	3670	2.80341	2.80341	0.17105	1.74148	2.72485
contig_15499	3393	12.0931	12.0931	2.90744	7.73235	13.9586
contig_22044	12748	6.27544	6.27544	7.2187	5.78489	76.1913
contig_5381	121463	18.7981	18.7981	98.9445	54.8403	766.792
contig_23790	16282	5.20227	5.20227	2.7683	10.5003	16.0328
contig_3991	8164	6.93786	6.93786	7.77952	9.98727	13.6152
contig_13493	2668	3.04448	3.04448	0.276926	3.50477	3.46182
contig_6425	7420	2.95488	2.95488	1.12133	5.14525	7.54814
contig_8556	10050	5.87586	5.87596	4.02802	9.82616	14.1223
contig_278	12155	7.53103	7.53103	172.569	15.9092	1521.25
contig_17237	28265	4.51005	4.51005	8.0929	4.71211	46.9099
contig_1544	119386	19.6011	19.6011	30.4385	6.67328	16.9643
contig_18110	45085	3.34432	3.34432	1.70165	6.12425	11.6851
contig_508	10591	3.16483	3.16483	1.0783	8.69045	23.6335
contig_7400	1342	2.08977	2.08977	0.185889	3.07131	7.52049
contig_2683	4833	9.10015	9.10015	1.8869	7.12108	16.4775
contig_21698	1708	0.991656	0.991656	0.00827972	5.5905	15.9273
contig_25673	15781	5.16499	5.16499	4.8968	8.06954	12.0141
contig_20513	13619	3.56552	3.56552	1.96463	4.76524	6.72635
contig_23345	16968	2.59472	2.59472	3.34832	2.319	4.71605
contig_3993	29224	5.59754	5.59754	9.91436	3.70499	7.16913
contig_17613	7882	3.84571	3.84571	1.28018	4.12403	6.84659
contig_12445	15753	6.67378	6.67378	6.54835	9.75255	19.1143
contig_4216	36011	7.22172	7.22172	10.3401	9.57355	131.433
contig_1847	2483	2.20403	2.20403	0.755085	7.81397	66.5674
contig_17238	1655	2.50698	2.50764	0.292658	3.52159	19.3667
contig_1823	8949	3.14013	3.14013	1.94265	5.26753	8.87202
contig_11822	36406	5.16621	5.16621	5.33778	10.0785	16.781
contig_8100	3153	6.13686	6.13686	1.31276	9.39394	16.6393
contig_2387	20053	9.44822	9.44827	10.9913	7.55796	10.8616
contig_5202	2281	4.32098	4.32098	0.927906	6.73956	8.27812
contig_16974	2487	3.9555	3.9555	0.896126	1.85837	3.96498
contig_23703	6299	5.78208	5.78208	2.8474	10.257	13.6739
contig_15420	37106	5.91558	5.91558	6.40476	7.35063	14.1039
contig_19426	7310	3.7426	3.7426	2.52784	2.91885	5.65028
contig_601	18740	7.36213	7.36213	10.5629	9.50425	19.1184
contig_22741	8971	3.97404	3.97404	0.774011	4.33228	6.76728
contig_10566	18922	2.67537	2.67537	1.05637	2.68352	5.15376
contig_4572	21811	6.67315	6.67315	4.64384	6.81598	13.1548
contig_13444	1898	0.987986	0.987986	0.0118764	3.20481	9.09822
contig_17985	9562	3.8351	3.8351	0.934861	5.69199	10.2274
contig_8598	1126	0	0	0	2.74385	5.24508
contig_25744	16516	3.31737	3.31737	2.73885	1.73146	2.72985
contig_875	10258	19.5224	19.5224	103.479	50.1933	976.704
contig_25067	3356	4.99938	4.99938	1.21372	4.01466	4.67267
contig_14845	148917	22.1268	22.1268	33.277	48.641	237.853
contig_20656	10601	5.21807	5.21807	2.3181	5.09741	9.21397
contig_2413	5978	22.5484	22.5484	58.7175	28.74	90.4739
contig_20061	9675	2.70824	2.70824	1.04748	3.64011	5.22396
contig_2718	6009	7.00785	7.00785	1.96849	5.86619	9.87383
contig_10175	6250	2.67557	2.67557	1.26133	3.10426	4.06924
contig_6272	3135	2.17119	2.17119	0.618456	1.53166	2.10297
contig_7761	21263	3.6541	3.6541	3.35092	2.64003	4.31144
contig_22682	14606	2.95829	2.95829	1.47937	8.62064	15.2709
contig_19011	4694	2.96325	2.96325	1.79949	1.22227	1.88016
contig_5089	14940	3.71799	3.71799	3.72557	1.66275	2.53182
contig_20082	2506	2.72793	2.72835	0.525766	2.30221	1.99184
contig_8313	6387	345.197	345.197	10258.4	535.306	25965.7
contig_5888	2192	3.2713	3.2713	0.956249	3.3761	4.56106
contig_11722	5542	4.91395	4.91395	2.67894	3.403	12.5348
contig_13439	1313	0	0	0	1.27343	5.19535
contig_20614	3672	3.1766	3.1766	0.802659	0	0
contig_24342	7677	5.91936	5.91936	3.14754	3.52398	6.08306
contig_6242	13152	4.38932	4.3894	1.31681	5.38756	6.80534
contig_2310	6700	2.8742	2.8742	1.27202	8.48122	30.3251
contig_22199	7791	3.37731	3.37731	1.2298	1.90917	2.98013
contig_25424	14198	4.3493	4.3493	2.02397	9.13831	14.9579
contig_6519	3986	2.8243	2.8243	0.250735	0.102711	0.194931
contig_24014	16249	3.99789	3.99789	2.30874	8.77657	14.073
contig_12048	90694	8.56461	8.56461	8.31404	10.4009	20.8026
contig_5258	9892	4.08489	4.08489	3.97348	5.13591	10.8768
contig_14282	8251	4.42698	4.42698	2.65783	1.27021	2.27322
contig_19285	3998	5.29262	5.29262	2.47846	3.41346	6.94959
contig_20682	2866	4.03277	4.03277	4.01172	6.52467	57.8889
contig_9658	8431	6.25951	6.25951	7.52866	18.536	291.544
contig_9145	14565	3.43836	3.43836	2.0802	2.91287	6.72992
contig_11499	1255	1.31131	1.31131	0.392128	11.1005	33.1392
contig_848	1622	2.26766	2.26766	0.930375	10.9069	47.6536
contig_4378	12635	8.45623	8.45623	18.6056	35.2116	311.531
contig_17395	6027	2.68913	2.68913	0.471591	0.59299	0.797534
contig_736	6064	3.3277	3.3277	0.463885	2.39753	3.14369
contig_7662	99254	10.8226	10.8226	37.9923	11.5034	94.4848
contig_9966	42574	6.75766	6.75766	7.52618	3.74519	12.6717
contig_9995	12928	13.1522	13.1522	73.7347	21.6901	197.487
contig_15357	11688	2.00425	2.00425	1.67869	5.64205	24.7937
contig_24103	96040	5.31366	5.31366	4.5339	7.61925	17.7731
contig_10827	2846	3.05453	3.05453	0.368457	9.39169	11.7657
contig_16767	5563	2.95825	2.95825	0.734365	1.09976	1.78233
contig_20851	3114	6.07659	6.07659	8.93873	7.59008	88.9249
contig_15645	16749	2.99771	2.99771	0.899832	6.00627	11.0829
contig_13304	5152	4.12415	4.12415	0.377881	1.59376	1.93412
contig_18104	43205	3.54635	3.54635	1.38395	5.24624	8.74999
contig_20960	7484	8.77638	8.77638	18.5604	27.3075	178.811
contig_25600	12883	3.39551	3.39551	1.36886	1.76235	2.68556
contig_12634	14900	4.10298	4.10305	5.75628	4.04739	9.4668
contig_24110	19876	5.15584	5.15584	4.23523	9.54456	19.0269
contig_11762	6005	1.79949	1.79949	0.500612	1.37387	1.35477
contig_15759	7999	3.03758	3.03758	0.387371	5.61511	10.7006
contig_19692	6796	2.73262	2.73262	0.373478	3.02317	4.96469
contig_17623	2041	4.49656	4.49656	4.17816	4.48969	10.9717
contig_9112	3914	2.76116	2.76116	4.56452	4.33209	20.0194
contig_19716	2419	4.40458	4.40458	2.03467	2.50066	3.36652
