Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Enterococcus_faecalis_100	2	2	2	1	1	1	2855141	2855141	2855141	2845433	2845433	2845433	2	2845433	2855141	2845392	37.56	37.52	2845433	2845433	2845433	2845433	1	1	1	1	0	0	0	0	0	0 + 1 part	9584	99.999	1.000	0.00	2.50	1.27	2845433	2845557	2845433	2845433	2845433	2845433	1	1	1	1
Enterococcus_faecalis_10	1	1	1	1	1	1	2844275	2844275	2844275	2844275	2844275	2844275	1	2844275	2844275	2845392	37.53	37.52	2844275	2844275	2844275	2844275	1	1	1	1	0	0	0	0	0	0 + 1 part	563	99.939	1.000	0.00	3.41	1.48	2843712	2843712	2843712	2843712	2843712	2843712	1	1	1	1
Enterococcus_faecalis_120	1	1	1	1	1	1	2845437	2845437	2845437	2845437	2845437	2845437	1	2845437	2845437	2845392	37.52	37.52	2845437	2845437	2845437	2845437	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.50	1.48	2845437	2845437	2845437	2845437	2845437	2845437	1	1	1	1
Enterococcus_faecalis_140	2	2	2	2	1	1	2867793	2867793	2867793	2867793	2845449	2845449	2	2845449	2867793	2845392	37.64	37.52	2845449	2845449	2845449	2845449	1	1	1	1	0	0	0	0	0	0 + 1 part	21559	100.000	1.000	0.00	2.50	1.34	2845449	2846234	2845449	2845449	2845449	2845449	1	1	1	1
Enterococcus_faecalis_160	3	3	2	1	1	1	2854508	2854508	2850944	2845438	2845438	2845438	3	2845438	2854508	2845392	37.56	37.52	2845438	2845438	2845438	2845438	1	1	1	1	0	0	0	0	0	1 + 1 part	8827	99.999	1.000	0.00	2.50	1.44	2845438	2845681	2845438	2845438	2845438	2845438	1	1	1	1
Enterococcus_faecalis_20	1	1	1	1	1	1	2845427	2845427	2845427	2845427	2845427	2845427	1	2845427	2845427	2845392	37.52	37.52	2845427	2845427	2845427	2845427	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.50	1.12	2845427	2845427	2845427	2845427	2845427	2845427	1	1	1	1
Enterococcus_faecalis_40	1	1	1	1	1	1	2845428	2845428	2845428	2845428	2845428	2845428	1	2845428	2845428	2845392	37.52	37.52	2845428	2845428	2845428	2845428	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.50	1.16	2845428	2845428	2845428	2845428	2845428	2845428	1	1	1	1
Enterococcus_faecalis_5	24	24	24	24	23	11	2469350	2469350	2469350	2469350	2451283	1982765	24	592112	2469350	2845392	37.52	37.52	160371	132439	67294	41514	4	5	9	15	0	0	0	2	0	0 + 5 part	21853	85.821	1.002	0.00	49.76	24.69	592112	2446713	160370	129217	66457	41409	4	5	9	15
Enterococcus_faecalis_60	1	1	1	1	1	1	2845428	2845428	2845428	2845428	2845428	2845428	1	2845428	2845428	2845392	37.52	37.52	2845428	2845428	2845428	2845428	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.50	1.16	2845428	2845428	2845428	2845428	2845428	2845428	1	1	1	1
Enterococcus_faecalis_80	1	1	1	1	1	1	2845431	2845431	2845431	2845431	2845431	2845431	1	2845431	2845431	2845392	37.52	37.52	2845431	2845431	2845431	2845431	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.50	1.27	2845431	2845431	2845431	2845431	2845431	2845431	1	1	1	1
Escherichia_coli_100	3	3	2	2	2	1	4815603	4815603	4814593	4814593	4814593	4765049	3	4765049	4815603	4875441	50.59	50.49	4765049	4765049	4765049	4765049	1	1	1	1	0	0	0	1	0	2 + 0 part	50554	97.735	1.000	0.00	12.84	1.24	4765049	4765049	4765049	4765049	4765049	4765049	1	1	1	1
Escherichia_coli_10	196	196	138	94	49	22	4301069	4301069	4122057	3790767	3102382	2141382	196	213789	4301069	4875441	50.56	50.49	48397	40596	18348	12270	23	29	55	83	10	9	387903	21	0	1 + 13 part	55914	86.422	1.008	0.00	15.24	2.66	169141	4243231	47516	38606	17767	11548	25	32	59	88
Escherichia_coli_120	3	3	2	2	2	1	4818018	4818018	4815321	4815321	4815321	4765763	3	4765763	4818018	4875441	50.59	50.49	4765763	4765763	4765763	4765763	1	1	1	1	0	0	0	1	0	1 + 2 part	52377	97.730	1.000	0.00	13.03	1.26	4764786	4765641	4764786	4764786	4764786	4764786	1	1	1	1
Escherichia_coli_140	3	3	2	2	2	1	4816558	4816558	4813241	4813241	4813241	4763686	3	4763686	4816558	4875441	50.60	50.49	4763686	4763686	4763686	4763686	1	1	1	1	0	0	0	2	0	2 + 0 part	52872	97.707	1.000	0.00	12.99	1.22	4763686	4763686	4763686	4763686	4763686	4763686	1	1	1	1
Escherichia_coli_160	3	3	2	2	2	1	4818087	4818087	4815939	4815939	4815939	4766380	3	4766380	4818087	4875441	50.59	50.49	4766380	4766380	4766380	4766380	1	1	1	1	0	0	0	0	0	1 + 2 part	51927	97.743	1.000	0.00	8.54	0.80	4765426	4766160	4765426	4765426	4765426	4765426	1	1	1	1
Escherichia_coli_20	28	28	23	23	17	15	4797256	4797256	4781445	4781445	4691108	4611488	28	924223	4797256	4875441	50.60	50.49	552648	552648	287964	287964	4	4	7	7	3	3	938347	3	0	1 + 2 part	52976	97.167	1.001	0.00	14.76	1.44	904335	4740595	549053	549053	287964	287964	4	4	7	7
Escherichia_coli_40	2	2	2	2	2	2	4815651	4815651	4815651	4815651	4815651	4815651	2	4763900	4815651	4875441	50.60	50.49	4763900	4763900	4763900	4763900	1	1	1	1	1	1	4763900	1	1	0 + 1 part	50155	97.712	1.000	0.00	13.01	1.11	3850820	4765490	3850820	3850820	3850820	3850820	1	1	1	1
Escherichia_coli_5	203	203	131	74	34	8	2699862	2699862	2475701	2062152	1466927	564796	203	109547	2699862	4875441	50.28	50.49	28149	5685	10609	-	30	125	71	-	31	24	691177	10	0	0 + 21 part	41071	54.025	1.009	0.00	60.14	14.81	71946	2656475	24313	4419	8942	-	35	145	83	-
Escherichia_coli_60	2	2	2	2	2	1	4812833	4812833	4812833	4812833	4812833	4763259	2	4763259	4812833	4875441	50.60	50.49	4763259	4763259	4763259	4763259	1	1	1	1	1	1	4763259	4	0	1 + 0 part	49574	97.697	1.000	0.00	13.00	1.24	4579074	4763219	4579074	4579074	4579074	4579074	1	1	1	1
Escherichia_coli_80	2	2	2	2	2	2	4814084	4814084	4814084	4814084	4814084	4814084	2	4763763	4814084	4875441	50.60	50.49	4763763	4763763	4763763	4763763	1	1	1	1	0	0	0	2	0	1 + 0 part	50321	97.709	1.000	0.00	12.89	1.18	4763762	4763762	4763762	4763762	4763762	4763762	1	1	1	1
Listeria_monocytogenes_100	2	2	1	1	1	1	2996876	2996876	2992061	2992061	2992061	2992061	2	2992061	2996876	2992342	37.97	37.96	2992061	2992061	2992061	2992061	1	1	1	1	0	0	0	6	0	0 + 1 part	500	99.973	1.002	0.00	2.07	0.67	2992061	2996376	2992061	2992061	2992061	2992061	1	1	1	1
Listeria_monocytogenes_10	2	2	2	1	1	1	2997793	2997793	2997793	2991774	2991774	2991774	2	2991774	2997793	2992342	37.98	37.96	2991774	2991774	2991774	2991774	1	1	1	1	0	0	0	4	0	0 + 0 part	0	99.964	1.002	0.00	2.31	0.60	2991774	2997793	2991774	2991774	2991774	2991774	1	1	1	1
Listeria_monocytogenes_120	2	2	2	1	1	1	2997271	2997271	2997271	2992051	2992051	2992051	2	2992051	2997271	2992342	37.97	37.96	2992051	2992051	2992051	2992051	1	1	1	1	0	0	0	5	0	0 + 0 part	0	99.973	1.002	0.00	1.77	0.37	2992051	2997249	2992051	2992051	2992051	2992051	1	1	1	1
Listeria_monocytogenes_140	2	2	2	1	1	1	2997232	2997232	2997232	2992055	2992055	2992055	2	2992055	2997232	2992342	37.97	37.96	2992055	2992055	2992055	2992055	1	1	1	1	0	0	0	5	0	0 + 0 part	0	99.973	1.002	0.00	1.54	0.67	2992055	2997232	2992055	2992055	2992055	2992055	1	1	1	1
Listeria_monocytogenes_160	2	2	2	1	1	1	2997596	2997596	2997596	2992046	2992046	2992046	2	2992046	2997596	2992342	37.98	37.96	2992046	2992046	2992046	2992046	1	1	1	1	0	0	0	4	0	0 + 1 part	1926	99.973	1.001	0.00	2.07	0.60	2992046	2995670	2992046	2992046	2992046	2992046	1	1	1	1
Listeria_monocytogenes_20	2	2	2	1	1	1	2998058	2998058	2998058	2992037	2992037	2992037	2	2992037	2998058	2992342	37.98	37.96	2992037	2992037	2992037	2992037	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.002	0.00	2.07	0.47	2992037	2998058	2992037	2992037	2992037	2992037	1	1	1	1
Listeria_monocytogenes_40	2	2	2	1	1	1	2997669	2997669	2997669	2992051	2992051	2992051	2	2992051	2997669	2992342	37.98	37.96	2992051	2992051	2992051	2992051	1	1	1	1	0	0	0	4	0	0 + 0 part	0	99.973	1.002	0.00	3.58	1.40	2992051	2997669	2992051	2992051	2992051	2992051	1	1	1	1
Listeria_monocytogenes_5	15	15	15	14	14	13	2758639	2758639	2758639	2750800	2750800	2711366	15	457303	2758639	2992342	38.10	37.96	309452	305418	151759	113677	4	5	7	8	0	0	0	4	0	0 + 2 part	19548	91.155	1.004	0.00	28.23	10.96	453180	2732060	309450	292168	151758	113677	4	5	7	8
Listeria_monocytogenes_60	2	2	2	1	1	1	2997971	2997971	2997971	2992054	2992054	2992054	2	2992054	2997971	2992342	37.98	37.96	2992054	2992054	2992054	2992054	1	1	1	1	0	0	0	4	0	0 + 0 part	0	99.973	1.002	0.00	2.21	1.40	2992054	2997971	2992054	2992054	2992054	2992054	1	1	1	1
Listeria_monocytogenes_80	2	2	2	1	1	1	2997466	2997466	2997466	2992030	2992030	2992030	2	2992030	2997466	2992342	37.98	37.96	2992030	2992030	2992030	2992030	1	1	1	1	0	0	0	6	0	0 + 0 part	0	99.972	1.002	0.00	1.60	0.23	2992030	2997466	2992030	2992030	2992030	2992030	1	1	1	1
Pseudomonas_aeruginosa_100	3	3	3	1	1	1	6805112	6805112	6805112	6792200	6792200	6792200	3	6792200	6805112	6792330	66.14	66.17	6792200	6792200	6792200	6792200	1	1	1	1	0	0	0	1	0	1 + 1 part	12064	99.997	1.000	0.00	9.76	0.46	6792142	6792990	6792142	6792142	6792142	6792142	1	1	1	1
Pseudomonas_aeruginosa_10	5	5	5	5	5	5	6781691	6781691	6781691	6781691	6781691	6781691	5	3652973	6781691	6792330	66.17	66.17	3652973	3652973	2225418	2225418	1	1	2	2	0	0	0	1	0	0 + 0 part	0	99.831	1.000	0.00	11.18	0.49	3652943	6781661	3652943	3652943	2225418	2225418	1	1	2	2
Pseudomonas_aeruginosa_120	2	2	2	2	1	1	6814800	6814800	6814800	6814800	6792229	6792229	2	6792229	6814800	6792330	66.14	66.17	6792229	6792229	6792229	6792229	1	1	1	1	0	0	0	1	0	0 + 1 part	18739	99.998	1.001	0.00	9.29	0.47	6792229	6796061	6792229	6792229	6792229	6792229	1	1	1	1
Pseudomonas_aeruginosa_140	2	2	1	1	1	1	6796803	6796803	6792199	6792199	6792199	6792199	2	6792199	6796803	6792330	66.16	66.17	6792199	6792199	6792199	6792199	1	1	1	1	0	0	0	1	0	0 + 1 part	4135	99.997	1.000	0.00	9.76	0.44	6792141	6792610	6792141	6792141	6792141	6792141	1	1	1	1
Pseudomonas_aeruginosa_160	3	3	3	2	1	1	6809369	6809369	6809369	6803337	6792215	6792215	3	6792215	6809369	6792330	66.14	66.17	6792215	6792215	6792215	6792215	1	1	1	1	0	0	0	1	0	2 + 0 part	17154	99.998	1.000	0.00	9.29	0.50	6792215	6792215	6792215	6792215	6792215	6792215	1	1	1	1
Pseudomonas_aeruginosa_20	1	1	1	1	1	1	6792196	6792196	6792196	6792196	6792196	6792196	1	6792196	6792196	6792330	66.17	66.17	6792196	6792196	6792196	6792196	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.82	0.29	6792138	6792138	6792138	6792138	6792138	6792138	1	1	1	1
Pseudomonas_aeruginosa_40	1	1	1	1	1	1	6792210	6792210	6792210	6792210	6792210	6792210	1	6792210	6792210	6792330	66.17	66.17	6792210	6792210	6792210	6792210	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	5.26	0.24	6792210	6792210	6792210	6792210	6792210	6792210	1	1	1	1
Pseudomonas_aeruginosa_5	52	52	51	50	43	32	6214679	6214679	6210448	6200919	6073149	5665626	52	543088	6214679	6792330	66.15	66.17	199271	184721	106840	92980	11	12	21	25	5	4	874490	3	0	0 + 8 part	21828	90.870	1.003	0.00	61.11	14.18	543088	6187976	195787	184021	99772	90341	11	12	22	26
Pseudomonas_aeruginosa_60	2	2	2	1	1	1	6798131	6798131	6798131	6792208	6792208	6792208	2	6792208	6798131	6792330	66.16	66.17	6792208	6792208	6792208	6792208	1	1	1	1	0	0	0	1	0	1 + 0 part	5923	99.998	1.000	0.00	9.32	0.40	6792208	6792208	6792208	6792208	6792208	6792208	1	1	1	1
Pseudomonas_aeruginosa_80	1	1	1	1	1	1	6792199	6792199	6792199	6792199	6792199	6792199	1	6792199	6792199	6792330	66.17	66.17	6792199	6792199	6792199	6792199	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.79	0.35	6792141	6792141	6792141	6792141	6792141	6792141	1	1	1	1
Salmonella_enterica_100	6	6	4	3	1	1	4802309	4802309	4796123	4787455	4756024	4756024	6	4756024	4802309	4759746	52.18	52.19	4756024	4756024	4756024	4756024	1	1	1	1	5	1	4756024	1	1	1 + 4 part	44023	99.886	1.001	0.00	0.55	0.48	1814957	4757914	1809950	1809950	1809950	1809950	2	2	2	2
Salmonella_enterica_10	61	61	51	44	37	22	4749680	4749680	4716044	4661701	4543379	4010048	61	655353	4749680	4759746	52.15	52.19	155162	155162	96526	96526	8	8	17	17	7	5	1748586	5	0	0 + 2 part	3444	98.311	1.014	0.00	12.50	4.49	397865	4744720	143884	143884	80731	80731	10	10	20	20
Salmonella_enterica_120	8	8	6	5	3	2	4804747	4804747	4799022	4789684	4764260	4737131	8	3053255	4804747	4759746	52.18	52.19	3053255	3053255	1683876	1683876	1	1	2	2	5	1	3053255	1	0	2 + 2 part	41247	99.881	1.002	0.00	0.50	0.48	1814962	4763256	1683876	1683876	692003	692003	2	2	3	3
Salmonella_enterica_140	5	5	3	3	2	1	4805753	4805753	4799084	4799084	4787247	4756932	5	4756932	4805753	4759746	52.16	52.19	4756932	4756932	4756932	4756932	1	1	1	1	4	1	4756932	2	0	2 + 2 part	48303	99.907	1.000	0.00	0.59	0.55	2939493	4757130	2939493	2939493	1386395	1386395	1	1	2	2
Salmonella_enterica_160	3	3	2	2	2	1	4809087	4809087	4807510	4807510	4807510	4757993	3	4757993	4809087	4759746	52.18	52.19	4757993	4757993	4757993	4757993	1	1	1	1	3	1	4757993	0	0	1 + 1 part	50052	99.930	1.001	0.00	0.50	0.57	2941867	4758813	2941867	2941867	1778185	1778185	1	1	2	2
Salmonella_enterica_20	1	1	1	1	1	1	4756199	4756199	4756199	4756199	4756199	4756199	1	4756199	4756199	4759746	52.18	52.19	4756199	4756199	4756199	4756199	1	1	1	1	4	1	4756199	2	0	0 + 0 part	0	99.890	1.000	0.00	1.26	0.90	2939666	4755820	2939666	2939666	1399890	1399890	1	1	2	2
Salmonella_enterica_40	4	4	1	1	1	1	4767400	4767400	4755917	4755917	4755917	4755917	4	4755917	4767400	4759746	52.17	52.19	4755917	4755917	4755917	4755917	1	1	1	1	5	1	4755917	1	0	1 + 2 part	10224	99.885	1.001	0.00	0.63	0.48	2476654	4756802	2476654	2476654	1136118	1136118	1	1	2	2
Salmonella_enterica_5	173	173	149	118	56	13	3917969	3917969	3844833	3618733	2665854	1053942	173	119850	3917969	4759746	52.18	52.19	37324	29999	18000	11083	34	46	70	114	14	12	410842	6	0	0 + 20 part	47685	80.685	1.008	0.00	50.46	15.78	119850	3867767	36521	28213	16880	9095	36	49	74	122
Salmonella_enterica_60	6	6	4	2	1	1	4794729	4794729	4789351	4771195	4756806	4756806	6	4756806	4794729	4759746	52.18	52.19	4756806	4756806	4756806	4756806	1	1	1	1	4	1	4756806	1	1	0 + 5 part	34003	99.905	1.001	0.00	0.50	0.40	2939737	4760504	2939737	2939737	1135793	1135793	1	1	2	2
Salmonella_enterica_80	4	4	4	3	1	1	4799204	4799204	4799204	4789764	4757151	4757151	4	4757151	4799204	4759746	52.19	52.19	4757151	4757151	4757151	4757151	1	1	1	1	4	1	4757151	2	0	2 + 1 part	41335	99.912	1.000	0.00	0.59	0.42	2939676	4757550	2939676	2939676	1386476	1386476	1	1	2	2
Staphylococcus_aureus_100	2	2	2	1	1	1	2728129	2728129	2728129	2718680	2718680	2718680	2	2718680	2728129	2730326	32.92	32.85	2718680	2718680	2718680	2718680	1	1	1	1	0	0	0	0	0	1 + 0 part	9449	99.574	1.000	0.00	0.18	0.74	2718680	2718680	2718680	2718680	2718680	2718680	1	1	1	1
Staphylococcus_aureus_10	1	1	1	1	1	1	2718515	2718515	2718515	2718515	2718515	2718515	1	2718515	2718515	2730326	32.86	32.85	2718515	2718515	2718515	2718515	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.564	1.000	0.00	1.88	2.10	2718406	2718406	2718406	2718406	2718406	2718406	1	1	1	1
Staphylococcus_aureus_120	1	1	1	1	1	1	2718703	2718703	2718703	2718703	2718703	2718703	1	2718703	2718703	2730326	32.86	32.85	2718703	2718703	2718703	2718703	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.15	0.81	2718703	2718703	2718703	2718703	2718703	2718703	1	1	1	1
Staphylococcus_aureus_140	1	1	1	1	1	1	2718684	2718684	2718684	2718684	2718684	2718684	1	2718684	2718684	2730326	32.86	32.85	2718684	2718684	2718684	2718684	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	0.77	2718684	2718684	2718684	2718684	2718684	2718684	1	1	1	1
Staphylococcus_aureus_160	1	1	1	1	1	1	2718703	2718703	2718703	2718703	2718703	2718703	1	2718703	2718703	2730326	32.86	32.85	2718703	2718703	2718703	2718703	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	0.81	2718703	2718703	2718703	2718703	2718703	2718703	1	1	1	1
Staphylococcus_aureus_20	1	1	1	1	1	1	2718676	2718676	2718676	2718676	2718676	2718676	1	2718676	2718676	2730326	32.86	32.85	2718676	2718676	2718676	2718676	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.22	0.81	2718676	2718676	2718676	2718676	2718676	2718676	1	1	1	1
Staphylococcus_aureus_40	1	1	1	1	1	1	2718678	2718678	2718678	2718678	2718678	2718678	1	2718678	2718678	2730326	32.86	32.85	2718678	2718678	2718678	2718678	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	0.66	2718678	2718678	2718678	2718678	2718678	2718678	1	1	1	1
Staphylococcus_aureus_5	13	13	13	13	13	12	2638956	2638956	2638956	2638956	2638956	2595791	13	592963	2638956	2730326	32.86	32.85	212577	212577	185623	185623	4	4	7	7	0	0	0	0	0	0 + 1 part	7658	96.328	1.000	0.00	33.19	13.12	592582	2630857	212577	212577	185623	185623	4	4	7	7
Staphylococcus_aureus_60	1	1	1	1	1	1	2718679	2718679	2718679	2718679	2718679	2718679	1	2718679	2718679	2730326	32.86	32.85	2718679	2718679	2718679	2718679	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	0.70	2718679	2718679	2718679	2718679	2718679	2718679	1	1	1	1
Staphylococcus_aureus_80	1	1	1	1	1	1	2718679	2718679	2718679	2718679	2718679	2718679	1	2718679	2718679	2730326	32.86	32.85	2718679	2718679	2718679	2718679	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	0.70	2718679	2718679	2718679	2718679	2718679	2718679	1	1	1	1
