contig	contig_len_bp	cov_long	cov_long_var	cov_ilm	cov_ilm_var	status_circular	status_repeat	graph_path	cmseq_total_covered_bases	total_polymorphic_bases	total_polymorphic_rate	dominant_allele_distr_mean	dominant_allele_distr_sd	domain	phylum	class	order	family	genus	species	AMR_count	VIR_count	mags_workflow_name	mags_workflow_date	mags_workflow_mode	bin
contig_10046	4651	1.72739	0.629006	3.73406	5.05583	N	N	*,10046,*	49	1	0.0204081632653061	0.7	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum nigrificans	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0112
contig_10047	16578	4.55162	5.28913	2.79316	6.21617	N	N	*,10047,*	299	0	0	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Christensenellaceae	 Christensenella	 Christensenella massiliensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10048	7847	4.90022	10.058	5.85501	22.0547	N	Y	*,10048	2742	93	0.0339168490153173	0.659594603088062	0.0739851449817658	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae	 Syntrophomonas	 Syntrophomonas wolfei	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10049	20310	3.95471	4.51496	5.70238	27.1549	N	N	*,10049,*	4114	33	0.00802139037433155	0.666500569597004	0.0966104598327222	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Tepidanaerobacter	 Tepidanaerobacter acetatoxydans	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0118
contig_1005	254616	5.51223	8.23345	9.05631	25.8906	N	N	*,1005,*	153633	3590	0.0233673754987535	0.657487192671621	0.0891804121572318	Bacteria	 Synergistetes	 Synergistia	 Synergistales	 Synergistaceae	 Aminobacterium	 Aminobacterium colombiense	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0074
contig_10052	13854	3.93345	2.00155	1.65266	3.92981	N	N	*,10052,*	51	0	0	NA	NA	Bacteria	 Acidobacteria	 Solibacteres	 Solibacterales	 Solibacteraceae	 Candidatus Solibacter	 Candidatus Solibacter usitatus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10053	8692	4.22711	2.17395	1.48209	2.31442	N	N	*,10053,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10054	44393	9.37247	8.50134	10.7252	27.3224	N	N	*,10054,*	26943	197	0.00731173217533311	0.709507742724733	0.0757952509299113	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Proteiniphilum	 Proteiniphilum saccharofermentans	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0017
contig_10055	15024	2.72865	0.54118	2.76738	4.36138	N	N	*,10055,*	368	11	0.0298913043478261	0.643940907577271	0.0995921998734724	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus naphthalenovorans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10056	7019	3.01529	0.655669	5.39103	13.6442	N	N	*,10056,*	1347	4	0.00296956198960653	0.625757575757576	0.0760147151188541	Bacteria	 Firmicutes	 Clostridia	 Halanaerobiales	 Halanaerobiaceae	 Halothermothrix	 Halothermothrix orenii	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0118
contig_10057	688489	23.8286	54.3562	33.9873	159.164	N	N	10057	673163	6422	0.00954003710839722	0.629391388891724	0.0882672015462877	Bacteria	 Bacteroidetes	 Bacteroidia	 Marinilabiliales	 Salinivirgaceae	 Salinivirga	 Salinivirga cyanobacteriivorans	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0105
contig_10058	38070	2.73302	1.41629	3.31498	6.52028	N	N	*,10058,*	1045	3	0.00287081339712919	0.733495670995671	0.0403365446464785	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family IV. Incertae Sedis	 Mahella	 Mahella australiensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0084
contig_10059	19107	3.81732	2.30405	1.96091	3.29965	N	N	*,10059,*	170	24	0.141176470588235	0.666414141414141	0.067119482994502	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum acetoxidans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_1006	21510	3.57701	4.4363	2.80047	10.5312	N	N	*,1006	1505	60	0.0398671096345515	0.604631544543825	0.0885087899951667	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Acidovorax	 Acidovorax citrulli	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10060	12704	4.30261	2.51319	3.68281	12.6449	N	N	*,10060,*	825	8	0.0096969696969697	0.622252747252747	0.0474718597327886	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Unclassified	 Unclassified	 Bacteroidales bacterium CF	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0081
contig_10061	4737	3.71637	1.29612	4.293	10.6203	N	N	*,10061,*	376	0	0	NA	NA	Bacteria	 Actinobacteria	 Actinobacteria	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces glaucescens	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0068
contig_10062	17929	5.87648	6.0636	2.94398	5.50778	N	N	*,10062,*	475	14	0.0294736842105263	0.620204795204795	0.0932689724584327	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Thermincola	 Thermincola potens	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0029
contig_10063	2054	1.34086	0.606302	6.61187	52.0787	N	Y	*,10063,*	1147	0	0	NA	NA	Bacteria	 Cyanobacteria	 Unclassified	 Chroococcales	 Aphanothecaceae	 Candidatus Atelocyanobacterium	 Candidatus Atelocyanobacterium thalassa	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10065	5855	2.81893	0.997872	1.30938	1.9283	N	N	*,10065,*	0	0	NA	NA	NA	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geoalkalibacter	 Geoalkalibacter subterraneus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10066	15914	3.29631	1.71041	2.07492	2.96109	N	N	*,10066,*	0	0	NA	NA	NA	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Desulfuromonadaceae	 Desulfuromonas	 Desulfuromonas soudanensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10067	20032	3.13822	0.496519	1.9491	3.50018	N	N	*,10067,*	38	0	0	NA	NA	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. PACM 27299	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10068	9607	3.30718	0.879697	2.26309	2.93858	N	N	*,10068,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10069	14986	2.7562	2.12584	1.63063	2.97444	N	N	*,10069,*	0	0	NA	NA	NA	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 Candidatus Koribacter	 Candidatus Koribacter versatilis	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_1007	12529	3.72453	1.4813	3.57081	6.7361	N	N	*,1007,*	1062	39	0.0367231638418079	0.604778554778555	0.0853006842576602	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 Alteromonas	 Alteromonas macleodii	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10070	32243	4.25594	5.14878	3.32583	9.11655	N	Y	*,10070	1342	1	0.000745156482861401	0.6	0	Bacteria	 Tenericutes	 Mollicutes	 Acholeplasmatales	 Acholeplasmataceae	 Acholeplasma	 Acholeplasma brassicae	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10071	19844	4.48126	2.54698	5.43897	11.8814	N	N	*,10071,*	2679	40	0.0149309443822322	0.631146867730653	0.0839298675982988	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Anoxybacillus	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10072	77781	6.59022	10.1851	3.75255	7.33349	N	N	*,10070,10072,*	2725	3	0.00110091743119266	0.654545454545455	0.05352582343229	Bacteria	 Firmicutes	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Erysipelothrix	 Erysipelothrix larvae	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10073	5765	4.73286	1.34827	9.7699	74.5656	N	N	*,10073,*	2853	71	0.0248860848229933	0.729770932566031	0.0446326865268832	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Unclassified	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0118
contig_10074	15091	3.90837	0.855926	2.78703	4.45555	N	N	*,10074,*	0	0	NA	NA	NA	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium actinocoloniiforme	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0053
contig_10075	17027	5.25739	8.8758	5.41779	14.1498	N	N	*,10075,*	2395	0	0	NA	NA	Bacteria	 Planctomycetes	 Phycisphaerae	 Unclassified	 Unclassified	 Unclassified	 Phycisphaerae bacterium L21-RPul-D3	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10076	8303	2.62014	0.321941	3.84484	6.39873	N	N	*,10076,*	374	1	0.00267379679144385	0.6	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Unclassified	 Intestinimonas	 Intestinimonas butyriciproducens	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10077	17130	3.33274	3.08004	2.49941	15.7764	N	N	*,10077,*	737	16	0.0217096336499322	0.653627622377622	0.0705839533495941	Bacteria	 Actinobacteria	 Actinobacteria	 Streptosporangiales	 Nocardiopsaceae	 Nocardiopsis	 Nocardiopsis dassonvillei	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10078	44468	3.67372	2.92914	5.04998	13.9479	N	N	*,10078,*	12422	460	0.0370310739011431	0.656687140119045	0.0867310838650618	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10079	9261	1.62397	0.300951	2.0371	4.01205	N	N	*,10079,*	394	51	0.129441624365482	0.599697144189585	0.127992952213726	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Granulibacter	 Granulibacter bethesdensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0049
contig_1008	7041	4.14163	2.25132	2.85445	4.98253	N	N	*,1008,*	64	0	0	NA	NA	Bacteria	 Acidobacteria	 Solibacteres	 Solibacterales	 Solibacteraceae	 Candidatus Solibacter	 Candidatus Solibacter usitatus	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0020
contig_10080	8800	2.92543	0.155959	2.98243	5.10272	N	N	*,10080,*	91	0	0	NA	NA	Bacteria	 Acidobacteria	 Solibacteres	 Solibacterales	 Solibacteraceae	 Candidatus Solibacter	 Candidatus Solibacter usitatus	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0003
contig_10082	22476	3.25482	2.75227	2.55742	4.39005	N	N	*,10082,*	55	0	0	NA	NA	Bacteria	 Planctomycetes	 Phycisphaerae	 Unclassified	 Unclassified	 Unclassified	 Phycisphaerae bacterium L21-RPul-D3	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0112
contig_10083	4853	1.42122	0.255739	2.05869	3.24882	N	N	*,10083,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] stercorarium	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0071
contig_10084	37392	4.79324	3.10675	5.43706	9.24046	N	N	*,10084,*	5206	39	0.00749135612754514	0.609074612200356	0.090731798362596	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Lachnoclostridium	 [Clostridium] saccharolyticum	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0114
contig_10085	2178	1.4497	0.268313	1.50394	1.8229	N	N	*,10085,*	0	0	NA	NA	NA	Bacteria	 Bacteroidetes	 Bacteroidia	 Marinilabiliales	 Salinivirgaceae	 Salinivirga	 Salinivirga cyanobacteriivorans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
