contigName	contigLen	totalAvgDepth	1_cov.bam	1_cov.bam-var
contig_9076	9979	3.52742	3.52742	0.968249
contig_15721	15906	16.523	16.5231	50.3323
contig_14877	7627	4.70148	4.70148	1.74801
contig_2742	28009	25.7498	25.7498	248.215
contig_29386	23406	6.87831	6.87831	4.03098
contig_22313	18454	3.06933	3.06933	1.55734
contig_13941	6406	4.02222	4.02222	1.64192
contig_10400	53306	3.37145	3.37145	2.57886
contig_29314	6110	13.9997	13.9997	7.61059
contig_835	11167	4.95788	4.95788	3.92283
contig_6268	16539	10.1593	10.1593	44.7961
contig_1328	138602	17.7633	17.7633	27.2934
contig_4107	16137	4.20692	4.20692	1.91257
contig_28442	4098	20.3265	20.3265	8.90803
contig_26694	23904	5.57712	5.57712	1.58652
contig_17444	83846	4.16088	4.16088	3.98003
contig_30209	44306	4.44793	4.44796	4.1448
contig_5188	5141	11.908	11.908	3.64073
contig_29538	29992	4.10609	4.10609	5.3584
contig_4828	13888	15.9242	15.9242	75.9882
contig_23261	40397	3.8267	3.8267	4.61862
contig_21209	12401	3.33638	3.33638	1.35524
contig_1230	1244	1.12066	1.12066	0.457525
contig_11514	31242	5.87952	5.87952	2.97275
contig_12997	7942	1.71971	1.71971	0.355774
contig_2884	1.64638e+06	36.1005	36.1005	57.3057
contig_7257	3632	2.67174	2.67174	2.4326
contig_5171	30023	7.95431	7.95431	9.46328
contig_7604	16141	2.82809	2.82809	1.69337
contig_16208	8061	2.50866	2.50866	1.2057
contig_16281	22145	4.46165	4.46165	67.2036
contig_29385	12840	17.0658	17.0658	31.1915
contig_30147	88091	4.84254	4.84254	4.04157
contig_24555	3180	2.88284	2.88284	0.422386
contig_10924	4748	7.07482	7.07482	3.51368
contig_758	16560	4.06082	4.06082	2.81515
contig_28497	15797	3.65425	3.65425	2.97538
contig_30462	13586	4.07242	4.07242	2.45708
contig_19753	18602	4.23678	4.23678	1.78106
contig_755	5071	5.89169	5.89169	4.90947
contig_23817	4094	3.79006	3.79006	0.689865
contig_20704	12807	10.7234	10.7234	30.0175
contig_13525	18080	4.5725	4.5725	2.6697
contig_666	303388	9.46793	9.46793	13.8848
contig_554	20474	15.4959	15.4959	58.944
contig_18303	2710	8.77578	8.77578	1.65662
contig_5177	24214	8.60871	8.60871	23.9298
contig_29044	28483	3.76028	3.76028	1.00775
contig_8540	4056	5.6828	5.6828	1.56514
contig_21433	6279	3.07163	3.07163	0.329228
contig_19075	6584	4.07414	4.07429	1.67117
contig_2404	18716	4.37461	4.37461	2.65289
contig_18531	39824	5.06274	5.06274	4.07709
contig_4833	224990	13.4351	13.4351	16.4073
contig_5683	22275	5.32208	5.32208	6.02776
contig_22757	7767	4.01168	4.01168	1.45497
contig_25368	4427	2.90694	2.90694	1.53012
contig_25978	2334	1.94963	1.94963	0.0533463
contig_20253	6128	1.78571	1.78571	0.272783
contig_21794	12851	7.19991	7.19991	8.34907
contig_15935	1690	74.4526	74.4526	40.0764
contig_26089	9691	3.79635	3.79635	2.09648
contig_24549	6430	2.90191	2.90191	0.178303
contig_7603	678460	18.7424	18.7424	38.426
contig_29411	78685	39.5008	39.5008	87.1467
contig_6605	44016	8.28181	8.28181	8.97744
contig_9438	67358	7.61615	7.61615	6.57931
contig_8280	1307	0.988764	0.988764	0.0111193
contig_9834	2275	3.52235	3.52235	0.577287
contig_6029	15140	3.98399	3.98399	1.48642
contig_20618	3931	1.90003	1.90003	0.0947727
contig_25905	6950	4.09544	4.09544	1.19302
contig_18904	16875	13.6024	13.6024	36.1434
contig_26601	4701	2.41837	2.41837	0.677252
contig_7619	28490	42.4422	42.4422	60.4922
contig_12344	2111	2.31464	2.31464	1.22595
contig_8941	12674	3.44115	3.44115	4.17878
contig_18992	8637	3.0271	3.0271	1.14292
contig_18049	2253	7.65573	7.65573	3.73967
contig_6778	3261	6.40276	6.40276	0.614904
contig_3576	19045	6.13866	6.13866	28.2249
contig_12435	11558	11.9982	11.9982	10.219
contig_28248	11435	3.779	3.779	4.80903
contig_7322	1520	33.5234	33.5234	41.5641
contig_29377	8543	21.5632	21.5632	43.0257
contig_24858	6485	3.14791	3.14791	0.733927
contig_14644	2410	0.463717	0.463717	0.248791
contig_6376	378075	15.6448	15.6448	21.0324
contig_5805	5946	3.72498	3.72498	1.30272
contig_4525	83219	11.9035	11.9035	39.2993
contig_18665	9201	6.60457	6.60457	9.34206
contig_28076	9868	10.8626	10.8626	18.3646
contig_21380	13968	12.6615	12.6615	4.75905
contig_18819	3630	8.36063	8.36063	3.44307
contig_10732	4663	15.0069	15.0069	16.664
contig_16294	14676	4.1465	4.1465	3.62217
contig_8246	201156	12.6475	12.6475	36.718
contig_26202	9397	3.08976	3.08976	2.21146
contig_19297	9932	3.13034	3.13034	7.67693
contig_29926	35231	6.97306	6.97306	3.9472
contig_18814	46577	3.56235	3.56235	3.4031
contig_22176	3722	3.10862	3.10862	0.631691
contig_27476	13273	3.25467	3.25467	0.932872
contig_21898	5956	25.1839	25.1839	18.0647
contig_7745	11847	4.73224	4.73224	2.19347
contig_23620	4030	19.5374	19.5374	24.5596
contig_3432	25563	3.79361	3.79361	2.65623
contig_24071	4401	5.80522	5.80522	3.11182
contig_2055	29552	3.78607	3.78607	7.79729
contig_24903	9363	2.81211	2.81211	1.06212
contig_20297	15651	5.1987	5.1987	3.53307
contig_16697	15345	3.49069	3.49069	2.02186
contig_27442	15947	2.92283	2.92283	2.20902
contig_2536	1678	13.966	13.966	2.10365
contig_17015	8831	30.621	30.621	113.228
contig_8301	3245	3.92859	3.92859	4.59967
contig_30081	72224	5.14885	5.14885	4.08803
contig_25977	11194	2.8764	2.87649	1.9242
contig_24292	5414	2.73708	2.73708	1.44029
contig_30713	256990	14.1032	14.1032	26.3412
contig_25871	24741	3.54927	3.54927	1.53801
contig_13536	28980	4.54849	4.54849	1.33972
contig_4342	51119	4.01252	4.01252	3.13998
contig_1108	41215	127.305	127.305	2332.2
contig_10503	1058	3.83811	3.83811	0.157885
contig_5294	1537	2.3504	2.3504	0.630377
contig_6994	13055	4.8699	4.86997	3.56209
contig_12540	15989	3.67504	3.67504	3.08177
contig_29961	49614	4.71118	4.71118	1.9943
contig_17207	57545	11.9176	11.9176	12.5327
contig_11164	4627	7.15122	7.15122	7.66979
contig_13500	46422	5.12427	5.12429	12.2806
contig_24873	5832	2.48363	2.48363	0.745106
contig_23459	7955	4.78591	4.78591	3.67599
contig_25919	10244	4.89756	4.89756	1.68344
contig_9027	7842	8.94956	8.94956	68.0958
contig_26160	5536	2.73821	2.73821	0.967314
contig_20684	28138	5.67736	5.67736	5.06661
contig_26270	3011	8.30549	8.30584	8.45638
contig_10432	21233	7.1671	7.1671	21.4197
contig_20916	9684	2.94724	2.94724	0.551602
contig_10186	34768	8.53331	8.53331	9.06695
contig_22130	26943	6.3583	6.3583	8.3364
contig_26168	3184	3.17568	3.17568	0.232565
contig_20986	71709	20.236	20.236	221.839
contig_19006	1141	4.32896	4.32896	0.687633
contig_21174	35511	6.57023	6.57023	7.49158
contig_24272	13368	3.57497	3.57497	4.35688
contig_19382	21490	5.61645	5.61645	1.86051
contig_16541	9183	6.54079	6.54079	17.4377
contig_5262	10996	8.94293	8.94293	26.3123
contig_2678	27080	22.7976	22.7976	68.608
contig_26673	9339	4.01578	4.01578	4.62854
contig_14209	29880	7.04363	7.04363	9.61264
contig_27543	11244	2.41238	2.41248	1.02915
contig_464	99144	6.95433	6.95433	11.9147
contig_1402	13416	7.60802	7.60802	8.09453
contig_9225	6182	56.2707	56.2707	84.6961
contig_18783	8112	4.40279	4.40279	0.660903
contig_15237	2740	3.95792	3.95792	0.167791
contig_16285	7890	3.81757	3.81757	5.06449
contig_18402	19772	2.99139	2.99139	1.69668
contig_16508	15133	4.32997	4.32997	3.03926
contig_25417	3097	2.72922	2.72956	0.227917
contig_28184	5563	14.1761	14.1761	19.4494
contig_6766	28780	8.78407	8.78407	7.97212
contig_27482	28367	3.96849	3.96849	2.12066
contig_2354	81630	5.47501	5.47501	5.83918
contig_30816	87936	6.77896	6.77896	6.1509
contig_20461	17045	4.7504	4.7504	7.08862
contig_23039	15173	3.64328	3.64328	1.62441
contig_2468	16386	6.56627	6.56627	7.06373
contig_2808	1824	5.9092	5.9092	1.69887
contig_20536	4408	3.12635	3.12635	0.308221
contig_21977	149707	16.5135	16.5135	13.8518
contig_6368	41525	3.67089	3.67089	1.75998
contig_19342	5532	2.56373	2.56373	0.355242
contig_21844	12874	5.02271	5.02279	4.48676
contig_8944	11019	16.2514	16.2514	50.9048
contig_30156	19837	6.18124	6.18124	7.43347
contig_20164	15761	4.26526	4.26526	3.29499
contig_214	1184	0.720503	0.720503	0.201573
contig_6294	12271	2.73484	2.73484	1.0754
contig_30728	18867	10.7011	10.7011	102.536
contig_24862	4873	3.2365	3.2365	1.30515
contig_2992	16612	149.956	149.956	15418.9
contig_24810	10817	4.49283	4.49283	0.865943
contig_22126	9029	2.57608	2.57608	1.15705
contig_18391	42233	4.22627	4.22629	3.71834
contig_20123	12057	3.75678	3.75678	2.21788
contig_29340	64770	5.9383	5.9383	4.93136
contig_29917	5407	2.76431	2.76431	0.304222
contig_30923	70392	5.46748	5.46748	4.62722
contig_843	24945	21.6031	21.6031	258.507
contig_13503	7527	2.95594	2.95594	0.404931
contig_16481	12383	6.20477	6.20477	1.9727
contig_261	1124	1.26078	1.26078	1.10972
contig_2836	13029	10.907	10.907	38.6099
contig_11087	41289	2.97278	2.97278	2.33902
contig_17031	9263	3.59311	3.59311	1.57481
contig_28844	58720	6.58236	6.58236	6.66905
contig_26498	9071	3.19135	3.19135	2.23001
contig_11329	43768	3.73951	3.73951	2.18507
contig_27539	9033	3.47158	3.47158	1.79815
contig_5593	16013	8.88722	8.88722	19.9762
contig_29958	32115	5.60188	5.60188	8.62124
contig_20287	26351	4.96973	4.96973	4.01124
contig_14840	40212	4.64116	4.64116	2.98443
contig_20046	124092	12.5377	12.5377	23.1449
contig_7437	2778	1.51903	1.51903	0.350993
contig_15977	8820	16.0799	16.0799	26.3241
contig_18093	10309	2.07845	2.07845	0.589712
contig_13238	77040	85.2093	85.2093	750.233
contig_25243	3969	2.06153	2.0618	0.147572
contig_27443	47289	3.56785	3.56785	2.63313
contig_24460	9327	2.24529	2.24529	0.501596
contig_14905	22854	3.7881	3.7881	3.24996
contig_15371	10766	6.56321	6.56321	5.69762
contig_596	120023	155.226	155.226	2334.09
contig_26919	40344	4.06558	4.06561	3.24713
contig_21234	24800	8.19862	8.19862	34.4061
contig_19266	22863	5.7136	5.7136	6.23022
contig_16922	15397	5.2594	5.2594	3.39117
contig_24619	13141	3.53868	3.53868	3.60583
contig_5353	2436	4.32021	4.32021	8.44876
contig_9992	6818	2.47481	2.47481	3.32169
contig_14958	13544	5.98992	5.98992	1.20396
contig_30717	10681	5.49653	5.49653	1.90618
contig_20771	80560	5.33416	5.33417	4.54722
contig_30840	27208	13.5833	13.5833	54.9476
contig_27992	5773	19.4211	19.4211	12.6796
contig_15303	26524	3.45128	3.45128	5.6016
contig_26101	4074	2.4261	2.4261	0.277236
contig_19102	4619	9.87268	9.87268	7.97821
contig_10605	27275	243.868	243.868	61356.7
contig_22429	2556	30.2398	30.2398	16.4002
contig_15499	21118	7.51946	7.51946	5.75442
contig_19886	36575	6.11042	6.11042	5.63752
contig_21276	28744	2.32982	2.32982	2.55245
contig_2574	8651	24.4044	24.4044	36.033
contig_28685	19218	102.431	102.431	579.258
contig_27764	21556	5.07713	5.07713	4.65206
contig_19606	14853	3.16963	3.16963	0.413219
contig_21075	81497	6.03608	6.03608	6.90619
contig_16433	15278	5.14007	5.14007	1.55808
contig_21013	15205	4.81109	4.81109	3.12135
contig_6937	21740	2.91274	2.91274	0.634975
contig_25789	7453	12.352	12.352	503.173
contig_21449	20491	2.92591	2.92591	2.53349
contig_12703	3592	3.17112	3.17112	1.61763
contig_1049	251778	7.9882	7.9882	9.38446
contig_3188	14334	52.5381	52.5381	443.823
contig_9086	3404	22.2578	22.2578	11.1394
contig_23358	20115	3.67062	3.67062	1.73569
contig_20056	21847	3.40033	3.40033	4.42608
contig_9116	6489	4.92822	4.92822	1.39805
contig_13051	3334	3.0848	3.0848	0.148635
contig_29323	22552	118.172	118.172	15098
contig_21849	6869	2.6309	2.6309	0.262073
contig_449	41051	7.74729	7.74729	9.53957
contig_9765	4514	6.35174	6.35174	10.3385
contig_27206	24808	5.62544	5.62544	2.33171
contig_24186	1624	1.24152	1.24152	0.405984
contig_17117	116115	12.5518	12.5518	35.3673
contig_22839	7004	21.4068	21.4068	139.477
contig_19495	31184	3.59287	3.59287	2.01625
contig_13645	3148	1.98199	1.98199	2.72102
contig_12206	7557	3.76293	3.76293	1.76154
contig_24626	9584	12.4537	12.4537	29.0471
contig_26369	6839	4.75093	4.75093	2.57903
contig_26161	2285	1.16815	1.16815	0.21398
contig_23614	12732	4.39175	4.39175	1.29031
contig_15219	11583	4.26065	4.26065	1.76409
contig_13965	2156	6.8679	6.8679	10.9228
contig_30323	15754	6.03595	6.03595	3.24878
contig_10438	43361	22.1774	22.1774	116.132
contig_5322	190692	17.7588	17.7588	39.4635
contig_19173	2236	2.40508	2.40508	0.972046
contig_30503	1829	1.32162	1.32162	0.373264
contig_27870	5690	17.2004	17.2004	9.12328
contig_26583	8231	2.15592	2.15592	0.850392
contig_12746	10928	3.28994	3.28994	0.623293
contig_19763	14266	3.26799	3.26799	2.09856
contig_18763	1172	3.94618	3.94618	0.329131
contig_24489	2671	6.05553	6.05553	1.85965
contig_7115	6770	4.53172	4.53172	2.53235
contig_20532	10798	4.78644	4.78644	3.4896
contig_16263	8441	4.35412	4.35412	2.73451
contig_30850	12049	4.01479	4.01479	3.28701
contig_3927	5927	5.5013	5.5013	0.839732
contig_14459	25994	8.06957	8.06961	9.69816
contig_29014	260463	5.36478	5.36478	3.80635
contig_26727	7683	25.8827	25.8827	46.7434
contig_21908	34639	19.614	19.614	105.899
contig_19188	101426	23.5863	23.5863	87.2303
contig_23382	10857	1.42131	1.42141	0.411755
contig_9317	14377	8.06403	8.06403	11.6644
contig_3630	9238	2.91219	2.91219	0.584376
contig_4909	28397	26.8912	26.8912	249.935
contig_16585	25769	5.29611	5.29611	8.27093
contig_24106	2265	1.69976	1.69976	0.331296
contig_28272	182139	27.7064	27.7064	57.3927
contig_20878	20133	4.62493	4.62493	2.10306
contig_15014	3761	4.58183	4.58183	1.01177
contig_26785	17645	5.68854	5.68854	12.7026
contig_6527	3930	7.03254	7.03254	1.23393
contig_19317	5538	2.60393	2.60393	0.474248
contig_3744	17009	16.7907	16.7907	78.6195
contig_30312	39883	3.89092	3.89092	3.7737
contig_8203	22821	12.7327	12.7327	25.2547
contig_29398	5724	9.47632	9.47632	15.122
contig_24014	49280	17.2708	17.2708	28.0705
contig_20553	21487	3.88433	3.88433	2.83458
contig_10959	3278	6.07449	6.07449	0.490446
contig_11143	26237	7.72818	7.72818	13.1699
contig_28489	10000	7.51827	7.51827	7.22057
contig_3486	8597	4.70344	4.70344	5.91795
contig_18407	25863	4.24758	4.24762	4.83061
contig_23823	15243	3.16856	3.16856	1.29161
contig_12019	43809	3.6666	3.6666	6.27466
contig_20071	2873	2.94748	2.94748	2.03362
contig_19459	1746	0	0	0
contig_16542	8910	2.23847	2.23847	0.227526
contig_81	7387	20.7661	20.7661	76.2208
contig_13596	21696	6.10573	6.10573	8.37284
contig_9104	227407	6.52617	6.52617	7.17532
contig_2753	8286	3.82375	3.82375	1.06939
contig_25688	10453	2.60914	2.60914	1.29511
contig_24848	38333	4.45617	4.45617	7.68033
contig_26962	16496	4.17588	4.17588	1.78248
contig_29892	31759	47.4272	47.4272	331.642
contig_4916	51815	33.3596	33.3596	199.099
contig_867	1661	3.45797	3.45797	4.97297
contig_23636	19039	3.94065	3.94065	2.33279
contig_8491	5670	2.42953	2.42953	7.90199
contig_13501	3604	6.20614	6.20614	0.871465
contig_25532	7210	1.51501	1.51501	0.259455
contig_22002	1182	37.3789	37.3789	66.8044
contig_7362	22945	24.707	24.707	63.1252
contig_30336	43107	83.6465	83.6465	1273.85
contig_26699	16156	2.89979	2.89979	1.26753
contig_8981	40802	5.15761	5.15761	6.50817
contig_29597	33087	3.48071	3.48071	1.5581
contig_1498	1.00221e+06	24.1188	24.1188	59.9458
contig_10784	3840	5.271	5.271	5.38649
contig_20176	92071	34.3146	34.3146	63.8942
contig_22915	2752	112.958	112.958	538.676
contig_25901	2735	3.57524	3.57524	0.287006
contig_3930	3886	0.716542	0.716542	0.203147
contig_14638	5729	8.11579	8.11579	1.32863
contig_29207	43257	23.2455	23.2455	105.478
contig_16272	4251	2.9961	2.9961	2.11509
contig_4550	20275	44.3462	44.3462	630.14
contig_24471	8179	4.71765	4.71765	1.61743
contig_22595	54537	5.93954	5.93954	7.19731
contig_30236	78329	10.8964	10.8964	11.4026
contig_10592	16602	2.51003	2.51003	1.17312
contig_2802	16898	15.5873	15.5873	32.3377
contig_23146	9159	3.86069	3.86069	18.8664
contig_15090	13504	3.0456	3.0456	2.2088
contig_16530	10963	14.3774	14.3774	33.986
contig_23535	10541	2.04052	2.04052	0.280824
contig_27899	45713	3.7002	3.7002	2.23121
contig_25373	8426	3.9536	3.9536	1.04765
contig_26737	7897	2.69833	2.69833	1.21535
contig_26279	7695	2.64414	2.64414	0.402894
contig_15282	44313	3.48869	3.48869	1.72421
contig_8569	111637	11.0827	11.0827	8.41465
contig_23909	11313	3.68879	3.68879	1.18185
contig_24178	4887	2.81739	2.81739	0.455877
contig_22773	10893	4.19622	4.19622	3.84064
contig_26048	10249	27.4348	27.4348	192.234
contig_5302	3223	6.57403	6.57403	1.87743
contig_2379	287676	19.807	19.807	175.325
contig_30575	9313	4.63745	4.63745	1.85084
contig_11746	19798	4.01247	4.01247	2.53585
contig_28401	7461	5.19888	5.19888	5.99762
contig_23763	3711	0.689132	0.689132	0.359794
contig_30107	28459	4.71193	4.71193	3.46175
contig_18499	6474	6.57638	6.57638	15.9496
contig_19213	31762	3.03372	3.03372	2.57412
contig_6753	6074	4.9475	4.9475	6.06274
contig_9028	12082	6.08247	6.08247	4.2481
contig_4611	5394	5.38425	5.38425	0.763465
contig_15736	2036	0.875398	0.875398	0.168552
contig_523	105252	11.2022	11.2022	64.5101
contig_25284	14219	3.22006	3.22006	2.09267
contig_29673	7571	9.78615	9.78615	3.81704
contig_24703	16323	3.57528	3.57528	2.7094
contig_24491	36637	2.82942	2.82942	0.777502
contig_6248	21968	26.4166	26.4166	28.7451
contig_13574	24408	4.6935	4.6935	2.21203
contig_19694	2586	0.575534	0.575534	0.244396
contig_1574	11583	16.2812	16.2812	66.3681
contig_26898	5994	3.40554	3.40554	0.499553
contig_16818	14439	7.75177	7.75177	5.59706
contig_17181	5885	2.99878	2.99878	3.45278
contig_6652	5911	5.35949	5.35949	8.01978
contig_14623	26650	3.96536	3.96536	3.1001
contig_15446	41094	3.59403	3.59403	2.86566
contig_525	156675	97.6869	97.6869	989.055
contig_13591	7266	5.40542	5.40542	0.967459
contig_20261	19682	3.53558	3.53558	2.73548
contig_21723	4663	4.30667	4.30667	4.11407
contig_23859	31344	7.51231	7.51231	5.77379
contig_19539	23854	4.02801	4.02801	2.49254
contig_14604	35760	3.81303	3.81303	2.17788
contig_4040	11452	40.2193	40.2193	58.4611
contig_30284	24642	7.54712	7.54712	10.4745
contig_29133	21166	12.6785	12.6785	15.7484
contig_20657	8157	8.02198	8.02211	63.9238
contig_24132	9516	4.27514	4.27514	0.969553
contig_19191	4806	2.80971	2.80971	1.69867
contig_11493	13207	16.9078	16.9078	102.595
contig_5564	154712	15.5805	15.5805	33.3886
contig_29827	3169	4.24776	4.24776	0.912768
contig_9936	43031	54.9142	54.9142	632.364
contig_9880	2682	28.1951	28.1951	270.463
contig_30217	30973	4.38277	4.38277	6.38758
contig_21742	73665	7.53594	7.53594	10.3882
contig_2615	4297	33.6226	33.6226	401.193
contig_18100	22982	4.16538	4.16538	5.84439
contig_9870	6164	2.9004	2.9004	0.106328
contig_25781	11473	2.70873	2.70873	1.15308
contig_29938	15381	10.321	10.321	7.62529
contig_13008	12484	3.64424	3.64424	2.26469
contig_24808	7704	2.40071	2.40071	0.657272
contig_21591	9079	3.0719	3.0719	2.09995
contig_24465	9413	3.50901	3.50901	2.11096
contig_30258	83125	4.75352	4.75352	3.53689
contig_360	37965	23.1545	23.1545	509.745
contig_16875	197515	9.50638	9.50638	23.0366
contig_9287	3458	8.02388	8.02388	5.10337
contig_17920	5555	3.94413	3.94413	1.49656
contig_20541	3694	26.6213	26.6213	87.4005
contig_16643	6573	5.21921	5.21921	3.72053
contig_369	27768	22.2384	22.2384	672.848
contig_19725	2469	0.878396	0.878396	0.106861
contig_24297	38287	15.0381	15.0381	11.2447
contig_22807	5561	3.40658	3.40658	0.612052
contig_27318	9944	4.47478	4.47478	3.80748
contig_2361	10430	5.08346	5.08346	0.917969
contig_4026	8539	38.8154	38.8154	74.8419
contig_10031	2278	1.27867	1.27867	1.70837
contig_23011	6847	4.59564	4.59579	1.58838
contig_27315	33931	3.4102	3.4102	2.11433
contig_322	18444	9.3675	9.3675	16.1078
contig_12183	3786	41.3575	41.3575	115.463
contig_7261	3692	7.39074	7.39074	5.40501
contig_15760	49347	5.29831	5.29831	3.42735
contig_6086	17916	4.15749	4.15749	3.6256
contig_28501	35737	3.1314	3.1314	1.7126
contig_8310	9582	6.57019	6.57019	9.87116
contig_11607	24591	7.56426	7.56426	5.90177
contig_15486	46132	5.76271	5.76271	5.2296
contig_21527	19004	2.60173	2.60173	0.724104
contig_26003	7556	2.98771	2.98771	0.399972
contig_5090	14314	39.8188	39.8188	97.2823
contig_3979	3003	1.85314	1.85314	3.53141
contig_8871	14167	9.83156	9.83156	24.3962
contig_3009	32968	20.044	20.044	588.004
contig_16759	8387	2.20991	2.20991	0.469634
contig_21629	31040	5.07417	5.07417	2.49161
contig_22308	23442	7.03735	7.03735	11.8165
contig_5480	4159	2.99651	2.99651	0.211059
contig_13184	29305	3.53648	3.53648	2.06266
contig_24350	10564	3.21529	3.21529	0.894964
contig_20108	46881	6.07175	6.07175	13.4707
contig_12292	48212	8.70214	8.70216	18.2329
contig_21405	6641	3.7438	3.7438	5.92805
contig_294	84634	9.41391	9.41391	36.4344
contig_15225	405191	27.2075	27.2075	36.9272
contig_12933	4787	4.52663	4.52663	1.97881
contig_12865	5789	12.9229	12.9229	5.03068
contig_29685	20084	4.85783	4.85783	3.87225
contig_10870	102582	5.15983	5.15983	27.6183
contig_17493	2664	2.60621	2.6066	1.0696
contig_7131	14745	6.88153	6.88153	13.9539
contig_27875	11011	7.98195	7.98195	9.98672
contig_12825	47818	3.26846	3.26846	3.20125
contig_4736	1787	4.02077	4.02077	3.58026
contig_9585	28001	5.10581	5.10581	8.70386
contig_9471	4348	15.6332	15.6332	8.19618
contig_26739	9391	3.68488	3.68488	2.7885
contig_10193	30751	6.55743	6.55743	3.99109
contig_18700	3791	4.71629	4.71629	8.80095
contig_11859	10906	3.61789	3.61789	1.70448
contig_9212	3366	4.07183	4.07183	0.672578
contig_28904	22149	2.27992	2.27992	1.35415
contig_6077	13738	35.1196	35.1196	199.279
contig_19931	3676	5.37068	5.37068	1.95476
contig_17661	31667	3.97217	3.97217	2.21927
contig_26666	20413	3.9887	3.9887	4.13553
contig_10128	1227	1.20149	1.20149	0.278136
contig_9632	4958	33.1487	33.1487	102.462
contig_11456	8082	2.83018	2.83018	0.416614
contig_30721	22123	3.34765	3.34765	1.0333
contig_22419	7486	9.11082	9.11082	3.1175
contig_14621	2506	9.84295	9.84295	5.18645
contig_12024	2927	4.77494	4.77494	4.99655
contig_3164	6613	2.93532	2.93532	0.98625
contig_30607	10368	38.1317	38.1318	282.581
contig_3599	4837	11.4096	11.4096	36.8573
contig_4585	6997	3.27355	3.27355	0.376386
contig_6544	10551	23.3168	23.3168	23.1308
contig_9393	22546	7.34908	7.34908	16.1893
contig_1594	33927	51.177	51.177	1027.5
contig_30755	13440	4.14169	4.14169	1.97905
contig_27952	24091	59.4994	59.4994	830.409
