Name %GC 
contig_10438 51.95 
contig_5322 58.97 
contig_19173 38.91 
contig_30503 43.74 
contig_27870 30.83 
contig_26583 43.38 
contig_12746 37.92 
contig_19763 63.81 
contig_18763 47.44 
contig_24489 60.05 
contig_7115 22.90 
contig_20532 39.62 
contig_16263 46.08 
contig_30850 45.79 
contig_3927 32.29 
contig_14459 56.36 
contig_29014 68.81 
contig_26727 38.45 
contig_21908 39.29 
contig_19188 35.54 
contig_23382 46.24 
contig_9317 60.58 
contig_3630 57.38 
contig_4909 57.40 
contig_16585 37.19 
contig_24106 59.34 
contig_28272 58.63 
contig_20878 54.59 
contig_15014 63.55 
contig_26785 46.47 
contig_6527 46.79 
contig_19317 58.52 
contig_3744 58.83 
contig_30312 46.60 
contig_8203 54.66 
contig_29398 44.20 
contig_24014 48.03 
contig_20553 33.62 
contig_10959 49.30 
contig_11143 38.81 
contig_28489 54.95 
contig_3486 46.82 
contig_18407 65.40 
contig_23823 54.10 
contig_12019 43.23 
contig_20071 36.58 
contig_19459 48.45 
contig_16542 39.39 
contig_81 40.90 
contig_13596 59.75 
contig_9104 32.80 
contig_2753 49.64 
contig_25688 41.22 
contig_24848 65.19 
contig_26962 45.71 
contig_29892 57.98 
contig_4916 55.65 
contig_867 32.45 
contig_23636 56.28 
contig_8491 47.39 
contig_13501 53.72 
contig_25532 32.30 
contig_22002 30.12 
contig_7362 47.85 
contig_30336 53.00 
contig_26699 62.39 
contig_8981 38.63 
contig_29597 53.56 
contig_1498 39.82 
contig_10784 52.37 
contig_20176 47.94 
contig_22915 29.83 
contig_25901 43.46 
contig_3930 27.92 
contig_14638 51.04 
contig_29207 28.40 
contig_16272 48.29 
contig_4550 47.04 
contig_24471 56.96 
contig_22595 44.73 
contig_30236 44.36 
contig_10592 47.91 
contig_2802 53.95 
contig_23146 42.76 
contig_15090 57.07 
contig_16530 29.84 
contig_23535 59.45 
contig_27899 39.09 
contig_25373 49.69 
contig_26737 46.00 
contig_26279 64.95 
contig_15282 58.97 
contig_8569 46.19 
contig_23909 37.59 
contig_24178 39.98 
contig_22773 36.06 
contig_26048 42.08 
contig_5302 49.72 
contig_2379 41.32 
contig_30575 44.65 
contig_11746 35.37 
contig_28401 56.05 
contig_23763 49.21 
contig_30107 60.89 
contig_18499 50.25 
contig_19213 64.31 
contig_6753 69.16 
contig_9028 32.91 
contig_4611 38.23 
contig_15736 32.96 
contig_523 42.24 
contig_25284 63.82 
contig_29673 51.14 
contig_24703 54.21 
contig_24491 44.06 
contig_6248 48.11 
contig_13574 53.68 
contig_19694 41.22 
contig_1574 38.37 
contig_26898 63.55 
contig_16818 35.00 
contig_17181 42.77 
contig_6652 42.68 
contig_14623 43.87 
contig_15446 31.95 
contig_525 49.10 
contig_13591 48.18 
contig_20261 62.72 
contig_21723 36.39 
contig_23859 51.53 
contig_19539 39.20 
contig_14604 41.36 
contig_4040 48.55 
contig_30284 34.24 
contig_29133 36.28 
contig_20657 51.40 
contig_24132 72.92 
contig_19191 43.88 
contig_11493 40.93 
contig_5564 49.29 
contig_29827 64.53 
contig_9936 49.28 
contig_9880 39.75 
contig_30217 64.39 
contig_21742 56.82 
contig_2615 42.33 
contig_18100 63.09 
contig_9870 47.13 
contig_25781 49.07 
contig_29938 47.21 
contig_13008 52.42 
contig_24808 64.37 
contig_21591 47.68 
contig_24465 64.16 
contig_30258 48.71 
contig_360 52.72 
contig_16875 59.25 
contig_9287 32.76 
contig_17920 57.28 
contig_20541 39.58 
contig_16643 46.04 
contig_369 37.45 
contig_19725 49.41 
contig_24297 48.18 
contig_22807 55.44 
contig_27318 30.90 
contig_2361 70.53 
contig_4026 43.66 
contig_10031 46.88 
contig_23011 41.68 
contig_27315 44.90 
contig_322 50.76 
contig_12183 32.99 
contig_7261 62.22 
contig_15760 49.44 
contig_6086 45.32 
contig_28501 53.89 
contig_8310 45.58 
contig_11607 44.07 
contig_15486 63.77 
contig_21527 41.10 
contig_26003 31.34 
contig_5090 41.19 
contig_3979 34.10 
contig_8871 53.67 
contig_3009 40.64 
contig_16759 31.99 
contig_21629 34.91 
contig_22308 58.38 
contig_5480 33.69 
contig_13184 55.97 
contig_24350 41.01 
contig_20108 39.10 
contig_12292 45.45 
contig_21405 29.27 
contig_294 40.79 
contig_15225 34.07 
contig_12933 33.38 
contig_12865 38.85 
contig_29685 43.62 
contig_10870 43.40 
contig_17493 31.61 
contig_7131 38.39 
contig_27875 25.27 
contig_12825 67.23 
contig_4736 54.50 
contig_9585 42.29 
contig_9471 32.64 
contig_26739 32.34 
contig_10193 65.35 
contig_18700 30.84 
contig_11859 43.97 
contig_9212 34.40 
contig_28904 32.45 
contig_6077 37.10 
contig_19931 41.97 
contig_17661 40.58 
contig_26666 35.46 
contig_10128 44.30 
contig_9632 28.96 
contig_11456 48.88 
contig_30721 39.31 
contig_22419 49.31 
contig_14621 48.44 
contig_12024 43.15 
contig_3164 59.17 
contig_30607 50.62 
contig_3599 46.85 
contig_4585 33.89 
contig_6544 51.74 
contig_9393 36.49 
contig_1594 61.09 
contig_30755 62.89 
contig_27952 47.91 
contig_16101 45.52 
contig_26074 66.46 
contig_30249 43.51 
contig_14156 45.10 
contig_1061 48.28 
contig_28172 46.60 
contig_8801 49.41 
contig_22169 39.76 
contig_25665 61.29 
contig_30909 36.21 
contig_20907 53.83 
contig_12728 52.05 
contig_1483 44.03 
contig_11404 57.28 
contig_1891 44.68 
contig_21257 58.87 
contig_29557 66.04 
contig_10253 47.97 
contig_26013 53.34 
contig_22990 36.84 
contig_29108 38.35 
contig_17149 50.84 
contig_7802 48.47 
contig_22014 50.46 
contig_12098 34.19 
contig_19330 59.11 
contig_5785 47.90 
contig_30203 43.46 
contig_26076 71.21 
contig_23017 45.26 
contig_23045 45.97 
contig_19737 42.88 
contig_11188 35.36 
contig_1923 29.26 
contig_7776 48.29 
contig_18338 45.18 
contig_18006 47.32 
contig_25350 58.49 
contig_26655 61.00 
contig_9885 67.45 
contig_14910 49.09 
contig_11277 45.43 
contig_23089 34.05 
contig_15338 43.40 
contig_29372 45.28 
contig_14496 50.52 
contig_28400 42.53 
contig_28256 51.18 
contig_4020 34.72 
contig_27346 37.00 
contig_4627 41.84 
contig_20869 64.26 
contig_11631 43.02 
contig_20586 59.12 
contig_22077 38.13 
contig_30918 55.00 
contig_17658 41.61 
contig_26579 52.61 
contig_25083 33.55 
contig_7826 39.56 
contig_5778 33.35 
contig_22528 67.99 
contig_25794 58.76 
contig_18366 35.34 
contig_4015 33.29 
contig_27208 57.27 
contig_17375 35.79 
contig_25024 29.54 
contig_17662 63.74 
contig_24569 55.31 
contig_22265 36.73 
contig_13517 45.76 
contig_2597 37.16 
contig_28863 31.57 
contig_27607 45.67 
contig_22873 47.80 
contig_25877 62.57 
contig_852 49.44 
contig_18926 38.90 
contig_24281 51.63 
contig_29777 59.94 
contig_21236 33.28 
contig_22802 48.95 
contig_14939 62.25 
contig_4179 52.34 
contig_29885 48.61 
contig_21025 51.64 
contig_12039 44.88 
contig_28639 56.93 
contig_12855 60.29 
contig_10120 48.06 
contig_2583 38.68 
contig_18615 58.17 
contig_5527 36.00 
contig_20147 52.44 
contig_23901 54.25 
contig_10459 68.42 
contig_1159 44.20 
contig_12472 46.87 
contig_6026 50.06 
contig_15329 57.72 
contig_651 31.51 
contig_21747 58.62 
contig_28510 41.88 
contig_11886 41.69 
contig_15032 50.21 
contig_21041 36.93 
contig_18242 32.68 
contig_26672 57.66 
contig_26393 52.93 
contig_13866 40.23 
contig_24038 48.61 
contig_772 53.04 
contig_21831 65.57 
contig_6930 42.09 
contig_3464 43.58 
contig_14300 30.10 
contig_18501 50.09 
contig_13852 44.17 
contig_22348 39.02 
contig_27092 38.69 
contig_21135 47.82 
contig_28426 38.67 
contig_23735 43.60 
contig_21532 64.89 
contig_4880 54.57 
contig_26792 48.04 
contig_9228 53.64 
contig_24964 41.14 
contig_1655 53.55 
contig_8754 30.17 
contig_25297 64.95 
contig_14517 54.57 
contig_23231 57.60 
contig_29762 45.13 
contig_30237 46.99 
contig_14608 62.47 
contig_3556 46.13 
contig_27568 41.22 
contig_30241 49.68 
contig_30138 53.62 
contig_17812 67.03 
contig_21590 65.46 
contig_18200 49.40 
contig_16600 36.37 
contig_10521 58.71 
contig_24034 36.36 
contig_6281 33.21 
contig_29120 47.95 
contig_13537 34.42 
contig_29586 31.49 
contig_24741 52.38 
contig_22965 35.66 
contig_20200 34.52 
contig_28933 53.66 
contig_30131 46.89 
contig_10564 48.09 
contig_27821 53.69 
contig_9672 53.94 
contig_4191 40.44 
contig_3732 58.07 
contig_9753 33.83 
contig_12046 40.96 
contig_18226 46.20 
contig_20639 49.11 
contig_7369 56.40 
contig_20304 67.21 
contig_17145 54.04 
contig_24811 31.40 
contig_8517 50.69 
contig_5151 39.52 
contig_2046 30.87 
contig_13433 45.05 
contig_4464 49.23 
contig_8609 59.98 
contig_6736 54.01 
contig_17111 56.70 
contig_10238 54.21 
contig_3883 44.22 
contig_8462 51.25 
contig_12306 48.38 
contig_29306 55.12 
contig_17640 53.68 
contig_24228 64.05 
contig_21872 49.00 
contig_18729 70.71 
contig_24863 57.96 
contig_17011 33.19 
contig_6893 36.84 
contig_27856 56.51 
contig_15545 42.27 
contig_4412 47.91 
contig_12498 55.48 
contig_17142 57.51 
contig_27284 67.65 
contig_6950 46.63 
contig_27496 46.36 
contig_29335 39.97 
contig_1166 33.39 
contig_11927 47.91 
contig_10867 49.62 
contig_1349 44.85 
contig_8620 43.32 
contig_21856 47.97 
contig_11586 37.13 
contig_30711 62.63 
contig_4242 33.70 
contig_28817 39.41 
contig_30987 47.32 
contig_9626 65.26 
contig_22441 32.60 
contig_22799 61.87 
contig_23157 65.27 
contig_20741 43.31 
contig_7830 23.55 
contig_17909 47.71 
contig_24997 43.07 
contig_5153 51.83 
contig_23746 42.97 
contig_21931 31.51 
contig_11377 61.30 
contig_6160 47.04 
contig_3492 50.12 
contig_9207 31.06 
contig_30463 64.04 
contig_8311 49.11 
contig_28270 53.37 
contig_3279 60.24 
contig_28530 61.35 
contig_14683 39.75 
contig_28633 34.73 
contig_28088 35.63 
contig_28030 51.56 
contig_20338 34.52 
contig_20644 40.92 
contig_19197 58.48 
contig_17713 71.20 
contig_15291 31.84 
contig_16100 58.16 
contig_25925 64.54 
contig_8910 47.84 
contig_27995 50.04 
contig_17132 57.45 
contig_29527 64.46 
contig_17755 68.79 
contig_27382 40.61 
contig_23355 34.16 
contig_25979 49.73 
contig_16699 52.37 
contig_12780 48.95 
contig_23562 29.90 
contig_17408 53.60 
contig_752 39.47 
contig_5715 54.78 
contig_6161 51.53 
contig_22683 40.83 
contig_21425 58.44 
contig_22227 51.19 
contig_17773 47.86 
contig_28222 55.44 
contig_18519 61.46 
contig_27627 47.67 
contig_23097 55.75 
contig_19415 41.59 
contig_24375 60.98 
contig_24118 44.02 
contig_27372 45.22 
contig_9537 58.03 
contig_8998 64.01 
contig_8399 41.32 
contig_23678 53.97 
contig_23033 45.46 
contig_24524 40.72 
contig_19739 27.17 
contig_19813 35.52 
contig_18208 64.88 
contig_3996 40.71 
contig_26778 57.28 
contig_8468 53.01 
contig_1299 37.98 
contig_20905 30.55 
contig_10762 45.37 
contig_15002 51.22 
contig_1525 54.98 
contig_17147 61.37 
contig_7585 37.97 
contig_2207 50.53 
contig_24100 68.51 
contig_29380 63.20 
contig_28637 30.97 
contig_6829 27.63 
contig_27340 55.54 
contig_14896 48.02 
contig_21634 50.41 
contig_17927 32.90 
contig_20648 62.73 
contig_13567 54.55 
contig_7518 54.01 
contig_19396 54.30 
contig_18730 70.88 
contig_9138 36.31 
contig_575 37.98 
contig_27735 55.26 
contig_27690 36.92 
contig_5293 47.46 
contig_6009 46.68 
contig_20547 37.22 
contig_25382 41.99 
contig_19796 50.02 
contig_22285 44.16 
contig_27739 45.04 
contig_17068 62.17 
contig_17209 56.05 
contig_3296 63.03 
contig_24517 50.78 
contig_21212 45.57 
contig_9629 33.63 
contig_8149 39.64 
contig_12315 55.96 
contig_10422 38.02 
contig_9613 40.18 
contig_7520 46.71 
contig_18033 38.79 
contig_11284 43.41 
contig_21001 55.73 
contig_20860 55.68 
contig_5392 58.96 
contig_20542 46.67 
contig_361 42.17 
contig_6550 40.88 
contig_5572 32.55 
contig_4766 55.58 
contig_13735 37.48 
contig_4587 40.02 
contig_5117 44.09 
contig_30326 39.37 
contig_20413 36.18 
contig_12862 61.38 
contig_21436 38.29 
contig_9359 43.91 
contig_28485 46.75 
contig_3410 52.63 
contig_10012 43.07 
contig_15727 51.20 
contig_29620 36.35 
contig_23423 70.71 
contig_15001 48.12 
contig_776 37.23 
contig_27808 44.42 
contig_12688 64.08 
contig_29564 40.81 
contig_4808 47.21 
contig_29742 55.21 
contig_21526 36.44 
contig_26175 48.82 
contig_8016 43.72 
contig_19659 40.41 
contig_6236 57.10 
contig_20482 57.22 
contig_11979 28.65 
contig_23660 56.68 
contig_25120 64.33 
contig_10209 64.48 
contig_6358 41.49 
contig_26887 38.52 
contig_11531 57.07 
contig_22339 44.01 
contig_23093 36.33 
contig_14203 46.96 
contig_18311 60.63 
contig_21670 32.80 
contig_23926 41.83 
contig_22250 41.44 
contig_25153 53.72 
contig_5080 39.45 
contig_13332 38.62 
contig_28869 60.37 
contig_13643 27.59 
contig_12897 65.05 
contig_1784 45.06 
contig_24427 58.83 
contig_11917 48.79 
contig_24551 44.49 
contig_18948 29.35 
contig_30069 49.86 
contig_10640 49.90 
contig_21448 41.11 
contig_18064 44.88 
contig_4435 52.36 
contig_21833 42.88 
contig_27187 28.81 
contig_13066 41.61 
contig_8633 61.35 
contig_27670 41.15 
contig_4714 51.96 
contig_9801 40.41 
contig_18977 34.80 
contig_18321 59.38 
contig_20742 52.90 
contig_26303 64.80 
contig_23257 33.45 
contig_5174 43.79 
contig_24869 62.22 
contig_21094 66.97 
contig_28089 48.03 
contig_28020 56.04 
contig_17856 54.90 
contig_26692 41.45 
contig_15199 54.16 
contig_26433 50.95 
contig_12951 52.41 
contig_2968 51.21 
contig_8946 56.94 
contig_18685 51.45 
contig_15656 40.41 
contig_4770 56.44 
contig_22913 32.46 
contig_21706 64.26 
contig_16798 53.82 
contig_17069 36.06 
contig_27276 59.94 
contig_4883 37.96 
contig_6492 59.84 
contig_24752 28.55 
contig_11555 32.55 
contig_25898 47.89 
contig_24587 39.47 
contig_27472 50.93 
contig_26640 54.06 
contig_26915 37.52 
contig_814 47.37 
contig_17479 64.72 
contig_3191 54.74 
contig_1780 49.50 
contig_26492 63.39 
contig_17108 48.53 
contig_28589 43.00 
contig_4805 46.43 
contig_6327 39.58 
contig_29307 37.48 
contig_6074 34.85 
contig_20811 41.74 
contig_570 44.10 
contig_30372 39.66 
contig_11067 30.28 
contig_30366 33.78 
contig_9952 37.61 
contig_2290 38.71 
contig_19587 53.13 
contig_680 32.62 
contig_921 45.44 
contig_23841 43.76 
contig_8308 58.02 
contig_15930 47.59 
contig_27357 65.86 
contig_7676 35.86 
contig_13827 39.04 
contig_16266 40.61 
contig_6741 62.49 
contig_30176 49.33 
contig_10706 48.92 
contig_9831 43.56 
contig_9651 58.54 
contig_15155 36.14 
contig_7025 59.87 
contig_10092 52.10 
contig_14152 61.00 
contig_15145 40.90 
contig_29402 48.26 
contig_22219 52.64 
contig_14215 49.10 
contig_27291 56.74 
contig_4774 45.22 
contig_24890 37.26 
contig_9072 57.62 
contig_12880 45.52 
contig_8201 54.45 
contig_10553 51.27 
contig_2229 62.02 
contig_20612 51.23 
contig_28646 47.05 
contig_23771 44.29 
contig_21337 51.61 
contig_6535 61.72 
contig_28435 32.51 
contig_15557 33.98 
contig_12785 46.66 
contig_1461 45.57 
contig_3774 59.79 
contig_17808 65.26 
contig_27419 31.58 
contig_8190 52.44 
contig_25094 44.33 
contig_24430 45.95 
contig_9511 39.59 
contig_411 33.11 
contig_20949 50.09 
contig_21787 40.80 
contig_8064 38.08 
contig_10837 44.76 
contig_9461 33.60 
contig_961 32.43 
contig_22581 63.29 
contig_28445 65.37 
contig_20707 40.01 
contig_7483 52.21 
contig_99 48.63 
contig_25656 36.48 
contig_17873 63.90 
contig_9352 43.65 
contig_30785 46.20 
contig_20732 39.45 
contig_25817 38.00 
contig_7396 42.80 
contig_21097 56.21 
contig_19638 33.52 
contig_23310 48.96 
contig_19223 37.53 
contig_23400 63.40 
contig_24553 45.74 
contig_5081 28.77 
contig_24208 45.74 
contig_30278 33.30 
contig_22728 59.69 
contig_29420 54.06 
contig_14773 63.97 
contig_18691 60.72 
contig_7381 41.28 
contig_16368 45.16 
contig_10839 42.17 
contig_2441 37.97 
contig_24532 38.55 
contig_12845 65.54 
contig_20348 37.20 
contig_388 43.95 
contig_17906 48.99 
contig_16564 55.57 
contig_15868 32.81 
contig_12342 54.85 
contig_29119 44.88 
contig_29475 57.52 
contig_11618 38.41 
contig_10775 57.41 
contig_26250 30.08 
contig_13853 42.79 
contig_11609 37.20 
contig_3920 55.35 
contig_2465 53.90 
contig_26645 37.86 
contig_24043 47.14 
contig_10382 42.94 
contig_22694 50.00 
contig_4443 39.40 
contig_23953 44.75 
contig_18826 52.40 
contig_14560 39.89 
contig_28300 51.74 
contig_1237 42.35 
contig_28451 35.48 
contig_22093 32.82 
contig_1894 42.28 
contig_20747 50.40 
contig_9163 45.81 
contig_21812 65.39 
contig_20305 44.00 
contig_3502 37.70 
contig_21267 44.81 
contig_19286 36.76 
contig_23104 49.87 
contig_10701 50.32 
contig_14774 49.16 
contig_2017 34.37 
contig_9542 56.12 
contig_25748 45.28 
contig_16479 35.97 
contig_26772 49.43 
contig_18864 58.54 
contig_10786 33.99 
contig_9556 44.01 
contig_10055 43.24 
contig_4237 39.59 
contig_26716 39.54 
contig_27625 45.03 
contig_5670 41.64 
contig_23673 43.15 
contig_22395 47.89 
contig_28889 54.15 
contig_18179 39.78 
contig_11503 39.59 
contig_23028 46.30 
contig_12539 46.18 
contig_29853 45.98 
contig_7160 33.26 
contig_9897 58.30 
contig_21869 38.58 
contig_21782 37.64 
contig_18659 58.53 
contig_16453 36.86 
contig_13250 47.87 
contig_13182 36.46 
contig_21560 68.72 
contig_23791 36.32 
contig_12912 61.52 
contig_19747 60.00 
contig_23302 41.27 
contig_28922 48.02 
contig_6744 60.26 
contig_16090 34.27 
contig_26552 30.29 
contig_20179 24.73 
contig_10635 64.16 
contig_12261 46.25 
contig_24049 66.04 
contig_5000 51.20 
contig_21859 40.48 
contig_5588 29.58 
contig_16727 46.76 
contig_21692 35.78 
contig_14490 37.71 
contig_8452 42.11 
contig_19177 39.13 
contig_12691 55.25 
contig_15888 44.63 
contig_8460 37.89 
contig_12463 49.73 
contig_14163 61.90 
contig_29908 45.78 
contig_19561 49.94 
contig_29768 56.40 
contig_17244 42.85 
contig_23652 56.34 
contig_21547 51.49 
contig_18806 47.78 
contig_6215 52.15 
contig_2226 56.61 
contig_22769 63.90 
contig_6601 24.68 
contig_20635 44.00 
contig_14277 37.23 
contig_28287 44.70 
contig_12905 42.76 
contig_5660 33.40 
contig_15077 41.32 
contig_12724 50.04 
contig_12096 51.74 
contig_22316 32.61 
contig_13840 38.77 
contig_24148 46.59 
contig_21842 64.27 
contig_12618 41.51 
contig_27834 48.62 
contig_16127 52.48 
contig_11913 69.39 
contig_24728 43.90 
contig_28141 52.60 
contig_10275 40.36 
contig_761 39.45 
contig_15931 46.26 
contig_5097 37.78 
contig_9358 56.39 
contig_21806 30.89 
contig_8513 47.88 
contig_16824 56.82 
contig_28482 46.33 
contig_12919 38.86 
contig_9603 59.41 
contig_26326 56.67 
contig_7430 35.57 
contig_26777 32.93 
contig_24341 52.44 
contig_29607 47.85 
contig_6552 39.13 
contig_7768 32.03 
contig_8080 57.20 
contig_15535 41.59 
contig_7469 48.27 
contig_7210 51.65 
contig_26886 56.20 
contig_29351 33.62 
contig_1221 64.00 
contig_885 49.19 
contig_24758 46.25 
contig_29663 43.55 
contig_25332 31.60 
contig_276 29.19 
contig_8215 29.97 
contig_27880 36.12 
contig_24716 54.33 
contig_7845 49.20 
contig_16450 52.05 
