Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
r9_bin.0162	27	27	27	27	20	14	2517150	2517150	2517150	2517150	2394915	2158171	27	405201	2517150	2725988	34.83	34.94	145003	142424	80620	58341	5	6	10	13	50	16	2237052	30	1	4 + 17 part	299521	77.336	1.052	0.00	502.00	81.92	198599	2216413	41498	39206	18640	12877	13	15	34	44
ilmn_bin.0051	736	736	121	23	0	0	2414159	2414159	952873	306228	0	0	736	19347	2414159	2861255	51.12	49.82	4181	3424	2499	1663	177	236	365	529	2	2	3050	9	0	125 + 4 part	263354	74.610	1.008	0.00	180.35	16.35	19347	2145791	3920	3238	2135	-	182	246	390	-
r103-il_bin.0064	62	62	62	58	40	19	2432209	2432209	2432209	2407328	2130172	1393191	62	126074	2432209	2861255	49.87	49.82	53920	49218	32480	24855	16	20	30	41	24	11	778968	23	0	4 + 22 part	213372	76.289	1.017	2.22	289.76	77.61	84255	2216272	43208	34506	20311	9645	20	26	41	63
r103_bin.0068	60	60	60	57	40	20	2447832	2447832	2447832	2428249	2161027	1454456	60	126361	2447832	2861255	49.87	49.82	55260	51091	34462	25541	16	20	29	40	23	12	839305	20	0	2 + 29 part	196452	77.522	1.015	0.00	642.84	396.15	84333	2249534	44245	34880	20551	10555	20	26	41	60
ilmn_bin.0034	598	598	40	5	0	0	1476986	1476986	286388	53444	0	0	598	12045	1476986	2949164	44.28	43.54	2853	1003	1849	-	165	596	328	-	7	7	17539	2	0	104 + 1 part	196033	43.262	1.004	0.00	107.77	11.36	10641	1278946	2586	-	1545	-	177	-	362	-
r9-il_bin.0149	35	35	28	24	19	14	2508954	2508954	2486408	2454392	2365119	2178872	35	359918	2508954	2949164	43.54	43.54	150773	120794	97746	45299	6	7	11	15	29	13	1937760	9	2	10 + 13 part	224534	75.968	1.020	0.48	216.52	50.75	226070	2283960	90646	68096	42164	7531	9	12	20	34
r9_bin.0103	38	38	30	25	19	14	2527898	2527898	2504991	2464629	2365260	2178871	38	359858	2527898	2949164	43.52	43.54	150827	120811	97758	45327	6	7	11	15	29	13	1937725	8	2	12 + 13 part	240610	76.071	1.020	0.00	194.83	119.90	226024	2286828	90599	68104	42135	7524	9	12	20	34
r103-il_bin.0070	60	60	50	46	29	15	2029970	2029970	1995847	1972329	1666356	1173144	60	185540	2029970	2379519	45.77	46.04	52991	44647	33283	19215	12	16	24	35	4	4	272416	8	0	12 + 13 part	173482	77.275	1.010	1.08	159.40	83.04	183478	1855035	47821	41728	27004	13879	14	18	28	41
r104-il_bin.0047	54	54	53	39	17	5	1335902	1335902	1331426	1226025	859267	362101	54	105869	1335902	2379519	45.96	46.04	40810	12685	18137	-	12	36	24	-	5	5	149728	3	0	2 + 10 part	44782	54.089	1.003	0.75	70.39	31.16	105869	1288992	37249	9640	15016	-	12	43	28	-
r104_bin.0089	138	138	105	63	22	5	2066016	2066016	1954921	1644533	1006562	362018	138	105839	2066016	2379519	45.50	46.04	22311	17740	12683	8102	24	31	55	79	6	6	178184	5	1	79 + 11 part	678957	58.096	1.003	0.00	298.83	190.39	105839	1384216	15607	12530	-	-	29	40	-	-
r9-il_bin.0215	6	6	6	6	5	4	2047156	2047156	2047156	2047156	2035752	2005568	6	572678	2047156	2379519	45.87	46.04	533135	503452	503452	396303	2	3	3	4	6	4	2005568	2	0	0 + 2 part	1506	85.956	1.000	1.22	37.26	27.97	400601	2045591	216843	216843	179460	131718	4	4	6	8
r9_bin.0105	15	15	14	13	10	5	2468916	2468916	2464643	2458016	2409117	2255377	15	572760	2468916	2379519	46.17	46.04	503443	503443	396291	396291	3	3	4	4	11	7	2314947	4	0	3 + 4 part	135057	98.021	1.001	0.00	64.95	63.97	400602	2333382	183680	216836	132551	132551	5	4	8	8
r9-il_bin.0219	23	23	23	22	14	8	1944526	1944526	1944526	1938482	1819095	1613727	23	499503	1944526	2329113	33.70	34.46	227407	143697	97972	32858	3	4	7	12	43	9	1552892	13	1	3 + 9 part	153511	76.276	1.008	3.14	424.59	116.01	224739	1789499	61345	50900	31414	5607	10	13	20	39
r9_bin.0177	25	25	23	21	14	8	1944696	1944696	1935947	1921087	1819459	1614023	25	499697	1944696	2329113	33.70	34.46	227367	143757	98055	32865	3	4	7	12	42	9	1553193	12	1	5 + 10 part	158257	76.076	1.008	0.00	354.42	217.62	224710	1785229	61360	50941	31405	5583	10	13	20	39
ilmn_bin.0077	699	699	40	2	0	0	1644851	1644851	258123	23195	0	0	699	12693	1644851	2330649	35.34	35.57	2693	1867	1736	-	196	351	389	-	4	4	16576	2	1	171 + 4 part	313648	56.322	1.014	0.00	383.04	28.03	12693	1328563	2368	1463	1260	-	209	394	444	-
r103-il_bin.0054	49	49	48	43	29	9	1835691	1835691	1830885	1791533	1562221	821283	49	137341	1835691	2330649	35.78	35.57	46208	40234	33085	12082	12	17	23	40	18	12	917410	37	2	7 + 25 part	367463	62.184	1.013	0.38	1102.88	146.00	80771	1466664	28614	19574	10034	-	22	33	46	-
r103_bin.0051	45	45	44	41	29	9	1803414	1803414	1799102	1774911	1566062	823408	45	137788	1803414	2330649	35.63	35.57	48005	40262	35006	13257	11	17	22	39	21	12	919694	25	2	5 + 29 part	408335	59.091	1.013	0.00	1698.31	415.77	75084	1394271	26234	17120	7575	-	24	36	51	-
r104-il_bin.0009	68	68	64	55	24	11	1908100	1908100	1892421	1823798	1328521	826405	68	105454	1908100	2330649	37.10	35.57	47023	34291	22927	12071	14	19	29	49	17	10	478589	18	0	11 + 24 part	271237	70.025	1.003	0.84	962.17	94.42	104057	1633088	36412	22893	12581	-	18	26	42	-
r104_bin.0056	59	59	56	44	22	10	1678954	1678954	1667697	1576215	1219093	758862	59	105692	1678954	2330649	37.08	35.57	47907	29293	23146	-	12	20	24	-	11	8	404760	13	0	10 + 22 part	183421	64.006	1.003	0.00	1273.27	231.07	104295	1493260	38964	18793	14408	-	15	27	33	-
r9-il_bin.0000	5	5	5	5	3	1	1893620	1893620	1893620	1893620	1858780	1791647	5	1791647	1893620	2330649	35.64	35.57	1791647	1791647	1791647	1791647	1	1	1	1	17	1	1791647	16	0	0 + 1 part	93065	77.031	1.003	0.79	509.99	50.35	496991	1800174	202379	140570	47595	22245	3	5	8	16
r9_bin.0038	10	10	8	8	6	1	2011894	2011894	2007531	2007531	1972692	1791909	10	1791909	2011894	2330649	35.59	35.57	1791909	1791909	1791909	1791909	1	1	1	1	17	1	1791909	16	0	4 + 1 part	177483	77.894	1.010	0.00	352.97	77.61	526251	1834017	177213	177213	45492	31518	4	4	9	15
ilmn_bin.0084	359	359	97	20	1	0	1487914	1487914	809499	271104	26254	0	359	26254	1487914	2074041	46.65	44.56	5638	3686	3239	-	85	151	174	-	1	1	1278	0	0	19 + 0 part	36745	69.727	1.003	0.00	45.78	2.01	26254	1450335	5593	3618	3204	-	85	152	175	-
r104-il_bin.0071	71	71	60	42	15	8	1417052	1417052	1371095	1244919	834425	582265	71	125871	1417052	2074041	45.71	44.56	40405	17182	14306	-	11	25	27	-	3	3	214680	1	0	1 + 13 part	69134	64.629	1.006	0.99	81.17	10.59	88831	1346822	28036	12919	12651	-	14	31	33	-
r104_bin.0050	67	67	57	37	12	7	1229241	1229241	1187869	1040122	663377	480427	67	125853	1229241	2074041	46.44	44.56	32017	10043	12716	-	11	37	27	-	3	3	214622	0	0	1 + 9 part	54033	56.395	1.005	0.00	201.34	116.53	74652	1174232	24888	8094	11056	-	14	44	32	-
r9-il_bin.0141	9	9	9	8	7	5	1838863	1838863	1838863	1831632	1812221	1749686	9	521644	1838863	2074041	44.79	44.56	513552	297916	244887	244887	2	3	4	4	2	2	208171	2	0	3 + 1 part	64755	85.459	1.001	1.20	51.45	3.22	521290	1772526	513199	285854	244012	244012	2	3	4	4
r9_bin.0153	9	9	9	8	7	5	1838936	1838936	1838936	1831661	1812226	1749611	9	521602	1838936	2074041	44.79	44.56	513534	297916	244870	244870	2	3	4	4	2	2	208175	2	0	3 + 1 part	64909	85.459	1.001	0.00	20.88	18.34	521250	1772439	513181	285846	243995	243995	2	3	4	4
r9-il_bin.0050	134	134	132	120	87	49	6250583	6250583	6244578	6151047	5558161	4147950	134	219825	6250583	5774847	58.66	58.44	65122	67146	39694	46305	32	28	62	53	23	23	1619690	23	4	5 + 54 part	1384099	83.659	1.007	2.59	282.23	216.72	146626	4862702	35836	38731	9674	18003	51	45	121	96
r9_bin.0194	136	136	135	125	93	50	6485466	6485466	6481070	6398949	5817310	4201065	136	219931	6485466	5774847	58.49	58.44	62093	67203	40183	48321	34	28	65	53	26	25	1710250	18	5	4 + 58 part	1474830	86.046	1.008	0.00	424.49	510.83	146606	5007195	35851	39323	8909	21014	54	44	128	92
r9-il_bin.0022	40	40	40	37	23	8	1431572	1431572	1431572	1407541	1144792	616199	40	144099	1431572	1789217	51.34	51.28	43768	35837	26435	17416	11	15	21	33	13	9	451413	15	1	3 + 16 part	244844	66.099	1.003	0.56	438.76	180.61	117155	1185565	28377	20721	13413	15	22	32
r9_bin.0006	36	36	36	34	22	8	1258960	1258960	1258960	1242066	1026169	537558	36	124448	1258960	1789217	51.49	51.28	45062	28301	27127	-	10	18	19	-	11	8	434767	11	2	3 + 15 part	212886	58.296	1.003	0.00	606.79	501.23	77036	1045328	27207	15951	13122	15	27	30
ilmn_bin.0040	94	94	72	41	19	10	1865861	1865861	1780647	1554394	1194448	873424	94	141603	1865861	2548577	54.14	54.01	46797	22290	17842	-	12	23	29	-	0	0	0	9	0	13 + 3 part	80705	69.872	1.002	0.00	33.75	1.85	141603	1784004	46797	22290	16473	-	12	23	29	-
r103-il_bin.0011	19	19	18	17	12	10	2375019	2375019	2370115	2363289	2279746	2195020	19	526150	2375019	2548577	54.09	54.01	287705	269981	180746	180746	3	4	6	6	6	5	1090589	12	0	1 + 11 part	182326	85.741	1.003	0.00	159.48	21.92	524437	2192294	189482	189482	90550	57345	4	4	8	10
r103_bin.0018	19	19	19	17	12	10	2377901	2377901	2377901	2363851	2281922	2196847	19	526529	2377901	2548577	54.05	54.01	287665	270249	180908	180908	3	4	6	6	6	5	1108681	13	0	3 + 11 part	205904	84.905	1.004	0.00	283.56	139.43	524395	2171795	189670	189670	90588	57377	4	4	8	10
r104-il_bin.0112	43	43	40	35	20	14	2226018	2226018	2215023	2180357	1927740	1715592	43	350975	2226018	2548577	53.85	54.01	99260	98610	51589	26118	7	8	14	20	7	6	315849	25	1	4 + 17 part	218916	78.433	1.004	0.00	205.96	20.11	339080	2005765	98393	98132	26471	11918	7	8	17	31
r104_bin.0112	44	44	40	34	20	14	2216602	2216602	2202481	2157908	1928096	1715783	44	351046	2216602	2548577	53.86	54.01	128663	98669	53684	26097	6	8	13	20	7	6	316043	22	0	5 + 16 part	204749	78.623	1.004	0.00	346.10	133.50	339024	2010520	98452	98131	26488	11933	7	8	17	31
r9-il_bin.0116	6	6	6	4	4	3	2200907	2200907	2200907	2185421	2185421	2155061	6	969556	2200907	2548577	54.07	54.01	856609	856609	856609	328896	2	2	2	3	11	3	1304137	11	0	0 + 2 part	60047	83.205	1.010	0.00	143.50	18.53	855803	2140044	666241	666241	314306	101678	2	2	3	4
r9_bin.0089	6	6	6	5	4	3	2215860	2215860	2215860	2210178	2187350	2156975	6	970558	2215860	2548577	54.07	54.01	857287	857287	857287	329130	2	2	2	3	9	2	976240	9	0	0 + 4 part	79586	83.374	1.005	0.00	178.22	138.22	856410	2136264	666725	666725	314527	101819	2	2	3	4
r103-il_bin.0052	54	54	50	41	25	12	1723357	1723357	1708023	1632796	1337176	898679	54	112481	1723357	2470879	57.56	58.15	52454	29138	25966	-	12	22	24	-	20	13	800775	29	0	6 + 24 part	213713	60.112	1.016	0.29	607.02	142.06	103298	1507886	37544	16866	14315	-	16	31	35	-
r9-il_bin.0126	14	14	14	13	12	12	2385378	2385378	2385378	2377630	2357346	2357346	14	542683	2385378	2470879	58.14	58.15	302634	302634	144673	142838	3	3	6	7	32	10	2205274	15	1	0 + 11 part	198806	88.240	1.003	0.71	376.05	69.21	324505	2185808	90617	90617	67429	63019	8	8	15	16
r9_bin.0054	16	16	16	14	13	13	2452276	2452276	2452276	2438152	2417794	2417794	16	543288	2452276	2470879	58.04	58.15	302796	302796	142953	142953	3	3	7	7	32	10	2207426	16	1	1 + 12 part	260805	88.358	1.004	0.00	402.25	216.93	324768	2190901	90805	90805	63043	63043	8	8	16	16
ilmn_bin.0050	90	90	82	56	25	6	1939877	1939877	1907611	1717281	1190842	523174	90	174512	1939877	2333270	48.30	48.28	31790	25024	18535	9165	17	25	38	60	7	7	168875	4	0	8 + 5 part	103099	78.468	1.003	0.00	96.51	4.10	174512	1834926	31002	23664	17076	6585	18	25	40	68
r103-il_bin.0062	9	9	9	9	8	8	2414482	2414482	2414482	2414482	2404276	2404276	9	1079409	2414482	2333270	48.05	48.28	498254	498254	194415	200325	2	2	4	3	35	7	2307702	13	0	1 + 7 part	223428	93.630	1.003	0.50	97.68	13.27	474177	2191054	137143	137143	44148	48199	4	4	12	11
r103_bin.0102	9	9	9	9	8	8	2414794	2414794	2414794	2414794	2404595	2404595	9	1079615	2414794	2333270	48.04	48.28	498135	498135	194505	200274	2	2	4	3	33	7	2308059	13	0	1 + 6 part	224214	93.596	1.003	0.00	111.18	36.91	474217	2190137	137069	137069	44140	48192	4	4	12	11
r104-il_bin.0036	25	25	25	24	21	18	2197008	2197008	2197008	2188335	2138139	2014406	25	218145	2197008	2333270	48.30	48.28	114161	102069	73595	67236	7	8	13	14	21	8	790670	10	0	1 + 12 part	152126	87.563	1.001	0.00	108.86	11.55	218145	2044533	91145	88272	46046	35378	8	9	17	20
r104_bin.0046	38	38	38	35	28	20	2628915	2628915	2628915	2604648	2482176	2182734	38	218150	2628915	2333270	48.37	48.28	102076	114159	60600	92805	9	8	17	13	26	10	843993	11	3	6 + 18 part	453624	92.579	1.007	0.00	169.43	49.95	218150	2174942	72510	88291	19150	38571	11	9	27	20
r9-il_bin.0112	19	19	19	18	16	11	2681223	2681223	2681223	2674327	2639355	2430112	19	901675	2681223	2333270	48.49	48.28	218636	218636	131932	178289	3	3	7	5	33	11	2162650	8	2	1 + 16 part	463335	92.912	1.023	0.00	105.54	19.33	742327	2217888	119171	124123	23486	49540	5	4	16	10
r9_bin.0157	16	16	16	15	14	10	2499146	2499146	2499146	2492249	2476300	2312099	16	901906	2499146	2333270	48.32	48.28	218614	218614	177946	178324	3	3	6	5	27	9	2025527	9	1	1 + 13 part	367333	89.706	1.019	0.00	105.97	50.74	742469	2131813	119196	124155	40188	62636	5	4	12	9
ilmn_bin.0074	156	156	95	43	11	2	1522599	1522599	1293533	924638	410865	102670	156	51375	1522599	1775572	48.87	48.96	14580	11203	6847	4771	30	40	70	103	2	2	26594	4	1	34 + 7 part	262231	70.354	1.009	0.00	195.81	9.29	51372	1259256	12100	8494	4014	-	32	44	87	-
r103-il_bin.0057	16	16	16	15	14	12	2306139	2306139	2306139	2297823	2278317	2203804	16	642987	2306139	1775572	49.05	48.96	166746	195526	130651	155635	4	3	8	5	14	6	1534645	10	1	5 + 9 part	607244	95.532	1.002	0.00	467.44	43.86	306015	1698896	95641	111277	-	64397	8	6	-	11
r103_bin.0097	44	44	40	35	23	16	3238059	3238059	3221376	3183519	2975146	2700793	44	643210	3238059	1775572	49.17	48.96	166797	208044	99925	171356	6	3	13	5	14	6	1535371	15	2	23 + 15 part	1449422	97.107	1.037	0.00	505.05	72.50	306060	1788196	31877	111372	-	64425	17	6	-	11
r104-il_bin.0082	16	16	16	16	16	14	2269877	2269877	2269877	2269877	2269877	2196922	16	576758	2269877	1775572	49.15	48.96	184031	187100	123976	162458	4	3	8	6	11	5	995803	14	0	5 + 10 part	563915	94.544	1.016	0.00	399.18	28.89	202615	1705953	103996	119386	7385	98515	8	6	20	10
r104_bin.0041	17	17	17	17	17	15	2321862	2321862	2321862	2321862	2321862	2248881	17	576769	2321862	1775572	49.18	48.96	180281	187110	123999	162467	5	3	8	6	11	5	995880	13	0	6 + 10 part	615720	94.550	1.016	0.00	436.02	43.60	202597	1706133	104020	119391	-	98474	8	6	-	10
r9-il_bin.0183	12	12	12	12	11	11	2269164	2269164	2269164	2269164	2255936	2255936	12	469141	2269164	1775572	49.07	48.96	338755	338755	156675	188245	3	3	6	4	16	7	1583352	13	0	3 + 7 part	597248	92.936	1.013	0.04	388.39	30.12	308935	1671668	102922	150096	-	92867	7	5	-	9
r9_bin.0014	12	12	12	12	11	11	2270457	2270457	2270457	2270457	2257224	2257224	12	469531	2270457	1775572	49.04	48.96	339040	339040	156810	188430	3	3	6	4	16	7	1584459	12	0	3 + 7 part	597782	92.937	1.014	0.00	412.69	64.54	309021	1672456	102930	150158	-	92894	7	5	-	9
ilmn_bin.0048	191	191	110	35	2	0	1337532	1337532	1047066	519694	50418	0	191	25389	1337532	1861168	45.30	45.30	8372	6028	5367	-	52	89	102	-	6	6	49732	2	0	1 + 3 part	9175	71.121	1.004	0.00	194.69	6.95	25389	1327385	8245	5772	5296	-	53	90	103	-
r103-il_bin.0096	39	39	38	33	18	12	1586538	1586538	1582523	1545641	1282585	1085102	39	206872	1586538	1861168	45.22	45.30	67023	56771	34828	19816	7	10	15	24	13	9	566113	10	1	1 + 11 part	94869	79.269	1.011	0.06	285.23	55.38	205822	1490728	57404	51388	18981	11331	8	11	20	34
r103_bin.0079	39	39	39	34	19	13	1733584	1733584	1733584	1696619	1433019	1227438	39	206999	1733584	1861168	45.24	45.30	79606	67044	37732	28155	7	8	15	18	19	10	730749	13	0	1 + 12 part	153037	84.069	1.010	0.00	535.90	268.88	206060	1579298	55218	51423	18035	15729	10	11	24	30
r104-il_bin.0105	66	66	57	43	22	6	1504146	1504146	1472782	1371949	1019693	413952	66	111355	1504146	1861168	45.25	45.30	40632	31171	19120	8544	14	19	28	46	8	7	265986	5	1	1 + 16 part	74129	76.024	1.011	0.00	294.78	27.70	104164	1427066	31185	22716	16405	4367	16	23	34	62
r104_bin.0078	63	63	56	42	22	6	1483412	1483412	1456709	1355848	1019398	413788	63	111299	1483412	1861168	45.25	45.30	40612	31156	19333	7690	14	19	27	47	7	6	252459	5	1	1 + 15 part	69746	75.438	1.007	0.00	573.63	225.28	104123	1410676	31165	22699	16580	3574	16	23	33	64
r9-il_bin.0030	12	12	11	11	6	5	1955705	1955705	1953241	1953241	1856369	1823828	12	1007379	1955705	1861168	45.23	45.30	1007379	1007379	298877	298877	1	1	3	3	13	5	1796004	14	0	3 + 9 part	243953	91.962	1.000	0.00	268.70	26.82	348159	1711752	253582	253582	78631	78631	4	4	6	6
r9_bin.0144	13	13	12	11	6	5	1964416	1964416	1961473	1954895	1857932	1825307	13	1007965	1964416	1861168	45.21	45.30	1007965	1007965	299221	299221	1	1	3	3	12	5	1797456	12	0	3 + 9 part	244442	92.021	1.004	0.00	280.91	154.15	349382	1719974	253824	253824	54266	78703	4	4	7	6
ilmn_bin.0043	859	859	52	2	0	0	2073830	2073830	348024	21890	0	0	859	11664	2073830	2800152	56.60	55.78	2859	2081	1814	-	241	392	472	-	11	11	39797	5	0	58 + 13 part	128768	67.319	1.032	0.00	643.01	22.86	10226	1938781	2660	1948	1642	-	253	414	501	-
r103-il_bin.0115	56	56	53	48	28	16	2093001	2093001	2079640	2040352	1699536	1288648	56	153898	2093001	2800152	55.82	55.78	58246	43538	29221	-	12	19	24	-	36	23	1318437	34	0	0 + 32 part	147256	68.682	1.012	0.62	696.28	88.34	97557	1944367	33436	19496	15850	-	20	34	44	-
